"freq
References : ['dB(Gc)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","dB(Gc)
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
2.852 GHz,-24.654
2.852 GHz,-24.232
2.852 GHz,<invalid>
2.852 GHz,-24.150
2.852 GHz,-6.021
2.852 GHz,-14.803
2.852 GHz,<invalid>
2.852 GHz,-14.803
2.852 GHz,<invalid>
2.852 GHz,-24.150
2.852 GHz,<invalid>
2.852 GHz,-6.021
2.852 GHz,<invalid>
2.852 GHz,-19.031
2.852 GHz,0.000
2.852 GHz,-24.150
2.852 GHz,<invalid>
2.852 GHz,-24.150
2.852 GHz,-6.021
2.852 GHz,-12.041
2.852 GHz,-6.021
2.852 GHz,0.000
2.852 GHz,-12.041
2.852 GHz,-6.021
2.852 GHz,0.000
2.852 GHz,<invalid>
2.852 GHz,0.000
2.852 GHz,<invalid>
2.852 GHz,<invalid>
2.852 GHz,-24.346
2.852 GHz,-24.150
2.852 GHz,<invalid>
2.852 GHz,<invalid>
2.852 GHz,<invalid>
2.852 GHz,-6.021
2.852 GHz,0.000
2.852 GHz,<invalid>
2.852 GHz,-24.150
2.852 GHz,-30.253
2.852 GHz,<invalid>
2.852 GHz,0.000
2.852 GHz,-18.129
2.852 GHz,-12.041
2.852 GHz,0.000
2.852 GHz,-19.031
2.852 GHz,-24.150
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,-6.021
2.853 GHz,<invalid>
2.853 GHz,-6.021
2.853 GHz,<invalid>
2.853 GHz,3.522
2.853 GHz,-18.062
2.853 GHz,-25.051
2.853 GHz,<invalid>
2.853 GHz,-24.082
2.853 GHz,<invalid>
2.853 GHz,-24.346
2.853 GHz,-24.082
2.853 GHz,<invalid>
2.853 GHz,-18.062
2.853 GHz,-6.021
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,-18.062
2.853 GHz,-6.021
2.853 GHz,0.000
2.853 GHz,-18.062
2.853 GHz,0.000
2.853 GHz,-18.633
2.853 GHz,<invalid>
2.853 GHz,0.000
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,-12.041
2.853 GHz,-24.346
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,-20.628
2.853 GHz,<invalid>
2.853 GHz,-6.021
2.853 GHz,0.000
2.853 GHz,-15.563
2.853 GHz,<invalid>
2.853 GHz,-14.540
2.853 GHz,<invalid>
2.853 GHz,-30.170
2.853 GHz,-6.021
2.853 GHz,<invalid>
2.853 GHz,-6.021
2.853 GHz,-24.150
2.853 GHz,<invalid>
2.853 GHz,-24.082
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,0.000
2.853 GHz,<invalid>
2.853 GHz,-25.051
2.853 GHz,-24.082
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,-18.062
2.853 GHz,<invalid>
2.853 GHz,-6.021
2.853 GHz,-18.633
2.853 GHz,<invalid>
2.853 GHz,-24.082
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,-12.613
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,-30.170
2.853 GHz,<invalid>
2.853 GHz,-24.346
2.853 GHz,-24.150
2.853 GHz,-14.540
2.853 GHz,<invalid>
2.853 GHz,-14.540
2.853 GHz,-24.654
2.853 GHz,-24.346
2.853 GHz,-6.021
2.853 GHz,<invalid>
2.853 GHz,0.000
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,-24.150
2.853 GHz,-6.021
2.853 GHz,-14.607
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,-6.021
2.853 GHz,-18.062
2.853 GHz,-6.021
2.853 GHz,<invalid>
2.853 GHz,-12.613
2.853 GHz,<invalid>
2.853 GHz,-18.129
2.853 GHz,-6.021
2.853 GHz,-2.499
2.853 GHz,-6.021
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,-14.540
2.853 GHz,-18.325
2.853 GHz,-6.021
2.853 GHz,-24.150
2.853 GHz,-18.325
2.853 GHz,<invalid>
2.853 GHz,-24.150
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,-18.633
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,0.000
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,-18.062
2.853 GHz,<invalid>
2.853 GHz,-18.325
2.853 GHz,<invalid>
2.853 GHz,-15.111
2.854 GHz,-18.325
2.854 GHz,<invalid>
2.854 GHz,-18.129
2.854 GHz,-24.346
2.854 GHz,<invalid>
2.854 GHz,-2.499
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,-14.803
2.854 GHz,-18.129
2.854 GHz,<invalid>
2.854 GHz,-18.633
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,-14.540
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,-18.129
2.854 GHz,0.000
2.854 GHz,<invalid>
2.854 GHz,0.000
2.854 GHz,<invalid>
2.854 GHz,0.000
2.854 GHz,<invalid>
2.854 GHz,-24.232
2.854 GHz,-18.129
2.854 GHz,-19.031
2.854 GHz,6.021
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,-14.607
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,-18.325
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,-18.129
2.854 GHz,<invalid>
2.854 GHz,3.522
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,-2.499
2.854 GHz,-15.111
2.854 GHz,<invalid>
2.854 GHz,-18.325
2.854 GHz,<invalid>
2.854 GHz,-6.021
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,-2.499
2.854 GHz,<invalid>
2.854 GHz,3.522
2.854 GHz,-18.129
2.854 GHz,-15.111
2.854 GHz,3.522
2.854 GHz,3.522
2.854 GHz,3.522
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,-18.325
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,-6.021
2.854 GHz,3.522
2.854 GHz,<invalid>
2.854 GHz,-6.021
2.854 GHz,<invalid>
2.854 GHz,-6.021
2.854 GHz,-18.325
2.854 GHz,<invalid>
2.854 GHz,0.000
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,-2.499
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,0.000
2.854 GHz,-2.499
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,-14.607
2.854 GHz,-14.803
2.854 GHz,-14.607
2.854 GHz,-6.021
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,-18.129
2.854 GHz,-3.522
2.854 GHz,-14.803
2.854 GHz,3.522
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,-15.509
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,-14.803
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,-6.021
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,-14.803
2.855 GHz,<invalid>
2.855 GHz,-12.304
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,-14.607
2.855 GHz,-20.824
2.855 GHz,-3.522
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,-18.129
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,-14.803
2.855 GHz,-2.499
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,-6.021
2.855 GHz,<invalid>
2.855 GHz,-3.522
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,-14.803
2.855 GHz,<invalid>
2.855 GHz,-12.109
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,-18.325
2.855 GHz,-18.325
2.855 GHz,-12.109
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,-14.607
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,3.522
2.855 GHz,-6.021
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,-15.111
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,-8.519
2.855 GHz,<invalid>
2.855 GHz,-18.062
2.855 GHz,<invalid>
2.855 GHz,3.522
2.855 GHz,-6.021
2.855 GHz,-6.021
2.855 GHz,<invalid>
2.855 GHz,-2.499
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,-6.021
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,-24.082
2.855 GHz,<invalid>
2.855 GHz,-14.803
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,-18.325
2.855 GHz,0.000
2.855 GHz,-2.499
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,-18.325
2.855 GHz,-13.473
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,-20.578
2.855 GHz,<invalid>
2.855 GHz,-18.062
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,-18.129
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,-15.509
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,-14.540
2.856 GHz,<invalid>
2.856 GHz,-6.021
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,6.021
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,-18.633
2.856 GHz,0.000
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,-2.499
2.856 GHz,-2.499
2.856 GHz,-24.082
2.856 GHz,3.522
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,-14.803
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,-2.499
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,-18.129
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,0.000
2.856 GHz,-3.522
2.856 GHz,<invalid>
2.856 GHz,0.000
2.856 GHz,<invalid>
2.856 GHz,-18.129
2.856 GHz,-12.041
2.856 GHz,6.021
2.856 GHz,-18.129
2.856 GHz,<invalid>
2.856 GHz,-18.129
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,-12.041
2.856 GHz,<invalid>
2.856 GHz,0.000
2.856 GHz,-14.607
2.856 GHz,<invalid>
2.856 GHz,-6.021
2.856 GHz,-18.325
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,0.000
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,-6.021
2.856 GHz,0.000
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,-24.150
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,-18.062
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,3.522
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,-14.540
2.856 GHz,-6.021
2.856 GHz,0.000
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,-14.803
2.856 GHz,-24.150
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,-6.021
2.856 GHz,0.000
2.856 GHz,<invalid>
2.856 GHz,-18.062
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,-18.129
2.856 GHz,-15.111
2.856 GHz,<invalid>
2.856 GHz,0.000
2.856 GHz,<invalid>
2.856 GHz,0.000
2.856 GHz,<invalid>
2.856 GHz,0.000
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,-20.965
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,-18.129
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,-14.607
2.856 GHz,-15.111
2.856 GHz,0.000
2.856 GHz,-18.129
2.856 GHz,0.000
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,-18.633
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,-18.129
2.857 GHz,<invalid>
2.857 GHz,-6.021
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,-24.150
2.857 GHz,<invalid>
2.857 GHz,-12.041
2.857 GHz,-6.021
2.857 GHz,<invalid>
2.857 GHz,0.000
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,-14.803
2.857 GHz,0.000
2.857 GHz,<invalid>
2.857 GHz,-18.633
2.857 GHz,-14.607
2.857 GHz,-19.031
2.857 GHz,<invalid>
2.857 GHz,-18.062
2.857 GHz,<invalid>
2.857 GHz,-18.325
2.857 GHz,-24.487
2.857 GHz,-2.499
2.857 GHz,-24.487
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,-14.803
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,3.522
2.857 GHz,-18.633
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,-24.232
2.857 GHz,0.000
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,-14.803
2.857 GHz,-18.325
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,0.000
2.857 GHz,-18.129
2.857 GHz,<invalid>
2.857 GHz,-18.633
2.857 GHz,<invalid>
2.857 GHz,-18.129
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,-18.129
2.857 GHz,-18.129
2.857 GHz,-18.129
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,3.522
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,-2.499
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,-18.129
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,-6.021
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,-6.021
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,0.000
2.857 GHz,<invalid>
2.857 GHz,-14.540
2.857 GHz,-18.129
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,3.522
2.857 GHz,-6.021
2.857 GHz,0.000
2.857 GHz,0.000
2.857 GHz,0.000
2.857 GHz,<invalid>
2.857 GHz,-19.494
2.857 GHz,<invalid>
2.857 GHz,3.522
2.857 GHz,-2.499
2.857 GHz,-6.021
2.857 GHz,<invalid>
2.857 GHz,-2.499
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,-18.062
2.857 GHz,<invalid>
2.857 GHz,-18.633
2.857 GHz,<invalid>
2.857 GHz,-2.499
2.857 GHz,<invalid>
2.857 GHz,0.000
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,0.000
2.857 GHz,3.522
2.857 GHz,-2.499
2.857 GHz,<invalid>
2.857 GHz,-24.099
2.857 GHz,-15.111
2.858 GHz,0.000
2.858 GHz,<invalid>
2.858 GHz,<invalid>
2.858 GHz,<invalid>
2.858 GHz,-18.129
2.858 GHz,<invalid>
2.858 GHz,0.000
2.858 GHz,-14.803
2.858 GHz,<invalid>
2.858 GHz,-19.494
2.858 GHz,-24.082
2.858 GHz,<invalid>
2.858 GHz,<invalid>
2.858 GHz,0.000
2.858 GHz,<invalid>
2.858 GHz,<invalid>
2.858 GHz,<invalid>
2.858 GHz,<invalid>
2.858 GHz,-2.499
2.858 GHz,<invalid>
2.858 GHz,<invalid>
2.858 GHz,<invalid>
2.858 GHz,<invalid>
2.858 GHz,0.000
2.858 GHz,0.000
2.858 GHz,<invalid>
2.858 GHz,-3.522
2.858 GHz,-24.346
2.858 GHz,0.000
2.858 GHz,-14.540
2.858 GHz,-19.031
2.858 GHz,<invalid>
2.858 GHz,<invalid>
2.858 GHz,3.522
2.858 GHz,<invalid>
2.858 GHz,<invalid>
2.858 GHz,-6.021
2.858 GHz,3.522
2.858 GHz,-18.062
2.858 GHz,-18.633
2.858 GHz,3.522
2.858 GHz,<invalid>
2.858 GHz,<invalid>
2.858 GHz,<invalid>
2.858 GHz,<invalid>
2.858 GHz,-13.010
2.858 GHz,<invalid>
2.858 GHz,-9.542
2.858 GHz,<invalid>
2.858 GHz,0.000
2.858 GHz,-18.062
2.858 GHz,<invalid>
2.858 GHz,<invalid>
2.858 GHz,<invalid>
2.858 GHz,-18.129
2.858 GHz,<invalid>
2.858 GHz,-2.499
2.858 GHz,<invalid>
2.858 GHz,0.000
2.858 GHz,<invalid>
2.858 GHz,6.021
2.858 GHz,<invalid>
2.858 GHz,<invalid>
2.858 GHz,0.000
2.858 GHz,-18.062
2.858 GHz,-14.607
2.858 GHz,-18.325
2.858 GHz,-14.607
2.858 GHz,-2.499
2.858 GHz,-6.021
