"freq
References : ['dBm(Vf)']
Dependency : [freq]
Num. Points : [1]
Matrix Size : scalar
Type : Real","dBm(Vf)
References : []
Dependency : [freq]
Num. Points : [2001]
Matrix Size : scalar
Type : Real"
2.330 GHz,-98.961
2.335 GHz,-98.169
2.340 GHz,-103.659
2.345 GHz,-96.537
2.350 GHz,-104.630
2.355 GHz,-99.953
2.360 GHz,-94.373
2.365 GHz,-94.570
2.370 GHz,-113.460
2.375 GHz,-94.592
2.380 GHz,-110.291
2.385 GHz,-96.093
2.390 GHz,-96.119
2.395 GHz,-98.231
2.400 GHz,-104.570
2.405 GHz,-95.077
2.410 GHz,-105.696
2.415 GHz,-104.416
2.420 GHz,-98.200
2.425 GHz,-94.734
2.430 GHz,-100.437
2.435 GHz,-99.676
2.440 GHz,-109.141
2.445 GHz,-93.861
2.450 GHz,-100.895
2.455 GHz,-92.953
2.460 GHz,-99.099
2.465 GHz,-96.541
2.470 GHz,-97.246
2.475 GHz,-91.869
2.480 GHz,-98.723
2.485 GHz,-96.121
2.490 GHz,-96.866
2.495 GHz,-98.197
2.500 GHz,-96.388
2.505 GHz,-96.676
2.510 GHz,-97.847
2.515 GHz,-95.383
2.520 GHz,-104.784
2.525 GHz,-93.497
2.530 GHz,-105.428
2.535 GHz,-100.191
2.540 GHz,-103.051
2.545 GHz,-97.344
2.550 GHz,-95.578
2.555 GHz,-96.198
2.560 GHz,-97.516
2.565 GHz,-96.189
2.570 GHz,-99.614
2.575 GHz,-92.433
2.580 GHz,-105.143
2.585 GHz,-97.439
2.590 GHz,-95.575
2.595 GHz,-90.535
2.600 GHz,-102.420
2.605 GHz,-95.248
2.610 GHz,-112.543
2.615 GHz,-99.000
2.620 GHz,-93.581
2.625 GHz,-93.297
2.630 GHz,-97.405
2.635 GHz,-91.483
2.640 GHz,-100.571
2.645 GHz,-89.789
2.650 GHz,-101.581
2.655 GHz,-98.172
2.660 GHz,-95.230
2.665 GHz,-92.793
2.670 GHz,-92.595
2.675 GHz,-87.531
2.680 GHz,-101.512
2.685 GHz,-93.413
2.690 GHz,-103.902
2.695 GHz,-92.311
2.700 GHz,-95.718
2.705 GHz,-91.132
2.710 GHz,-89.603
2.715 GHz,-89.565
2.720 GHz,-96.948
2.725 GHz,-91.563
2.730 GHz,-93.051
2.735 GHz,-90.264
2.740 GHz,-96.297
2.745 GHz,-90.650
2.750 GHz,-90.734
2.755 GHz,-87.726
2.760 GHz,-103.352
2.765 GHz,-91.947
2.770 GHz,-88.494
2.775 GHz,-85.437
2.780 GHz,-92.595
2.785 GHz,-87.874
2.790 GHz,-101.057
2.795 GHz,-88.289
2.800 GHz,-90.718
2.805 GHz,-84.591
2.810 GHz,-92.098
2.815 GHz,-91.024
2.820 GHz,-86.421
2.825 GHz,-83.007
2.830 GHz,-90.511
2.835 GHz,-85.916
2.840 GHz,-88.017
2.845 GHz,-83.664
2.850 GHz,-94.864
2.855 GHz,-87.785
2.860 GHz,-84.035
2.865 GHz,-79.832
2.870 GHz,-91.659
2.875 GHz,-85.727
2.880 GHz,-83.766
2.885 GHz,-80.132
2.890 GHz,-84.712
2.895 GHz,-79.677
2.900 GHz,-82.285
2.905 GHz,-78.856
2.910 GHz,-80.890
2.915 GHz,-77.143
2.920 GHz,-78.812
2.925 GHz,-78.459
2.930 GHz,-75.217
2.935 GHz,-77.351
2.940 GHz,-71.295
2.945 GHz,-74.117
2.950 GHz,-66.974
2.955 GHz,-78.610
2.960 GHz,-68.012
2.965 GHz,-4.037
2.970 GHz,0.156
2.975 GHz,-56.702
2.980 GHz,-62.260
2.985 GHz,-68.494
2.990 GHz,-72.322
2.995 GHz,-71.931
3.000 GHz,-82.158
3.005 GHz,-74.431
3.010 GHz,-90.301
3.015 GHz,-76.160
3.020 GHz,-109.751
3.025 GHz,-77.236
3.030 GHz,-116.440
3.035 GHz,-78.800
3.040 GHz,-96.548
3.045 GHz,-80.254
3.050 GHz,-98.949
3.055 GHz,-81.179
3.060 GHz,-92.437
3.065 GHz,-81.448
3.070 GHz,-99.246
3.075 GHz,-83.228
3.080 GHz,-100.630
3.085 GHz,-83.059
3.090 GHz,-101.140
3.095 GHz,-85.145
3.100 GHz,-99.511
3.105 GHz,-86.073
3.110 GHz,-96.614
3.115 GHz,-85.760
3.120 GHz,-95.153
3.125 GHz,-86.845
3.130 GHz,-98.833
3.135 GHz,-88.160
3.140 GHz,-97.277
3.145 GHz,-86.780
3.150 GHz,-96.311
3.155 GHz,-88.877
3.160 GHz,-96.632
3.165 GHz,-90.075
3.170 GHz,-96.874
3.175 GHz,-88.018
3.180 GHz,-98.558
3.185 GHz,-89.877
3.190 GHz,-100.073
3.195 GHz,-90.894
3.200 GHz,-99.232
3.205 GHz,-92.448
3.210 GHz,-96.908
3.215 GHz,-90.710
3.220 GHz,-93.629
3.225 GHz,-89.213
3.230 GHz,-103.547
3.235 GHz,-91.832
3.240 GHz,-102.042
3.245 GHz,-90.225
3.250 GHz,-98.500
3.255 GHz,-90.882
3.260 GHz,-104.752
3.265 GHz,-92.825
3.270 GHz,-105.689
3.275 GHz,-93.044
3.280 GHz,-97.815
3.285 GHz,-93.167
3.290 GHz,-98.925
3.295 GHz,-93.052
3.300 GHz,-102.011
3.305 GHz,-93.065
3.310 GHz,-102.186
3.315 GHz,-94.387
3.320 GHz,-98.393
3.325 GHz,-92.254
3.330 GHz,-102.531
3.335 GHz,-93.467
3.340 GHz,-109.681
3.345 GHz,-96.860
3.350 GHz,-99.566
3.355 GHz,-96.027
3.360 GHz,-98.375
3.365 GHz,-94.977
3.370 GHz,-99.060
3.375 GHz,-93.353
3.380 GHz,-102.077
3.385 GHz,-94.434
3.390 GHz,-103.153
3.395 GHz,-94.891
3.400 GHz,-99.599
3.405 GHz,-94.066
3.410 GHz,-107.699
3.415 GHz,-93.781
3.420 GHz,-106.417
3.425 GHz,-95.622
3.430 GHz,-104.529
3.435 GHz,-97.373
3.440 GHz,-101.132
3.445 GHz,-93.157
3.450 GHz,-99.746
3.455 GHz,-93.865
3.460 GHz,-106.663
3.465 GHz,-96.862
3.470 GHz,-103.520
3.475 GHz,-99.562
3.480 GHz,-116.349
3.485 GHz,-96.298
3.490 GHz,-105.818
3.495 GHz,-98.642
3.500 GHz,-101.721
3.505 GHz,-100.734
3.510 GHz,-105.023
3.515 GHz,-93.898
3.520 GHz,-100.033
3.525 GHz,-98.129
3.530 GHz,-110.192
3.535 GHz,-96.914
3.540 GHz,-104.109
3.545 GHz,-97.079
3.550 GHz,-106.944
3.555 GHz,-95.718
3.560 GHz,-108.429
3.565 GHz,-96.183
3.570 GHz,-112.778
3.575 GHz,-120.075
3.580 GHz,-104.866
3.585 GHz,-94.890
3.590 GHz,-104.104
3.595 GHz,-97.997
3.600 GHz,-107.575
3.605 GHz,-97.065
3.610 GHz,-99.331
3.615 GHz,-99.305
3.620 GHz,-102.592
3.625 GHz,-93.819
3.630 GHz,-101.543
3.635 GHz,-97.967
3.640 GHz,-108.172
3.645 GHz,-94.889
3.650 GHz,-108.608
3.655 GHz,-101.504
3.660 GHz,-101.050
3.665 GHz,-97.616
3.670 GHz,-105.701
3.675 GHz,-101.571
3.680 GHz,-102.829
3.685 GHz,-99.359
3.690 GHz,-101.211
3.695 GHz,-104.377
3.700 GHz,-98.101
3.705 GHz,-97.748
3.710 GHz,-108.416
3.715 GHz,-95.968
3.720 GHz,-103.048
3.725 GHz,-100.809
3.730 GHz,-107.860
3.735 GHz,-109.566
3.740 GHz,-105.695
3.745 GHz,-93.696
3.750 GHz,-96.602
3.755 GHz,-95.191
3.760 GHz,-100.024
3.765 GHz,-101.502
3.770 GHz,-103.604
3.775 GHz,-99.512
3.780 GHz,-103.563
3.785 GHz,-101.749
3.790 GHz,-101.229
3.795 GHz,-98.960
3.800 GHz,-110.923
3.805 GHz,-113.116
3.810 GHz,-107.569
3.815 GHz,-99.649
3.820 GHz,-103.070
3.825 GHz,-102.538
3.830 GHz,-101.405
3.835 GHz,-100.592
3.840 GHz,-125.503
3.845 GHz,-92.793
3.850 GHz,-110.019
3.855 GHz,-101.189
3.860 GHz,-102.877
3.865 GHz,-106.097
3.870 GHz,-98.901
3.875 GHz,-107.972
3.880 GHz,-100.402
3.885 GHz,-109.158
3.890 GHz,-102.684
3.895 GHz,-101.872
3.900 GHz,-109.733
3.905 GHz,-96.290
3.910 GHz,-99.727
3.915 GHz,-101.207
3.920 GHz,-96.080
3.925 GHz,-98.114
3.930 GHz,-91.699
3.935 GHz,-88.639
3.940 GHz,-93.814
3.945 GHz,-84.292
3.950 GHz,-84.714
3.955 GHz,-83.063
3.960 GHz,-84.812
3.965 GHz,-86.820
3.970 GHz,-91.058
3.975 GHz,-104.921
3.980 GHz,-94.448
3.985 GHz,-93.932
3.990 GHz,-97.982
3.995 GHz,-101.853
4.000 GHz,-118.594
4.005 GHz,-99.383
4.010 GHz,-95.828
4.015 GHz,-101.346
4.020 GHz,-97.346
4.025 GHz,-105.446
4.030 GHz,-100.315
4.035 GHz,-98.877
4.040 GHz,-104.629
4.045 GHz,-97.967
4.050 GHz,-104.441
4.055 GHz,-107.795
4.060 GHz,-98.384
4.065 GHz,-119.312
4.070 GHz,-99.334
4.075 GHz,-98.449
4.080 GHz,-94.383
4.085 GHz,-96.983
4.090 GHz,-106.708
4.095 GHz,-99.583
4.100 GHz,-99.229
4.105 GHz,-95.357
4.110 GHz,-100.613
4.115 GHz,-102.222
4.120 GHz,-95.127
4.125 GHz,-93.744
4.130 GHz,-99.354
4.135 GHz,-95.853
4.140 GHz,-103.924
4.145 GHz,-101.682
4.150 GHz,-99.061
4.155 GHz,-103.223
4.160 GHz,-100.385
4.165 GHz,-97.299
4.170 GHz,-108.474
4.175 GHz,-110.051
4.180 GHz,-104.757
4.185 GHz,-96.123
4.190 GHz,-98.688
4.195 GHz,-107.765
4.200 GHz,-112.371
4.205 GHz,-105.894
4.210 GHz,-98.455
4.215 GHz,-111.057
4.220 GHz,-100.984
4.225 GHz,-94.624
4.230 GHz,-112.422
4.235 GHz,-101.367
4.240 GHz,-100.390
4.245 GHz,-100.921
4.250 GHz,-100.070
4.255 GHz,-101.418
4.260 GHz,-97.284
4.265 GHz,-94.452
4.270 GHz,-99.001
4.275 GHz,-105.117
4.280 GHz,-96.804
4.285 GHz,-94.896
4.290 GHz,-94.342
4.295 GHz,-104.605
4.300 GHz,-104.628
4.305 GHz,-100.562
4.310 GHz,-111.479
4.315 GHz,-101.078
4.320 GHz,-94.866
4.325 GHz,-95.764
4.330 GHz,-104.826
4.335 GHz,-93.197
4.340 GHz,-104.010
4.345 GHz,-106.036
4.350 GHz,-96.997
4.355 GHz,-93.589
4.360 GHz,-106.157
4.365 GHz,-97.808
4.370 GHz,-106.739
4.375 GHz,-97.735
4.380 GHz,-98.036
4.385 GHz,-96.479
4.390 GHz,-97.313
4.395 GHz,-104.336
4.400 GHz,-94.640
4.405 GHz,-97.191
4.410 GHz,-88.942
4.415 GHz,-88.035
4.420 GHz,-88.136
4.425 GHz,-86.900
4.430 GHz,-89.286
4.435 GHz,-96.139
4.440 GHz,-90.227
4.445 GHz,-97.232
4.450 GHz,-87.879
4.455 GHz,-87.820
4.460 GHz,-108.642
4.465 GHz,-92.613
4.470 GHz,-92.980
4.475 GHz,-87.851
4.480 GHz,-87.309
4.485 GHz,-89.383
4.490 GHz,-87.852
4.495 GHz,-89.534
4.500 GHz,-94.151
4.505 GHz,-94.514
4.510 GHz,-97.320
4.515 GHz,-98.930
4.520 GHz,-94.514
4.525 GHz,-95.518
4.530 GHz,-101.745
4.535 GHz,-98.829
4.540 GHz,-99.431
4.545 GHz,-111.100
4.550 GHz,-93.545
4.555 GHz,-100.700
4.560 GHz,-97.733
4.565 GHz,-112.011
4.570 GHz,-95.513
4.575 GHz,-100.926
4.580 GHz,-95.707
4.585 GHz,-96.276
4.590 GHz,-124.530
4.595 GHz,-98.331
4.600 GHz,-116.240
4.605 GHz,-97.707
4.610 GHz,-94.747
4.615 GHz,-104.535
4.620 GHz,-97.948
4.625 GHz,-92.850
4.630 GHz,-104.014
4.635 GHz,-105.365
4.640 GHz,-95.156
4.645 GHz,-102.775
4.650 GHz,-102.946
4.655 GHz,-100.247
4.660 GHz,-100.655
4.665 GHz,-101.287
4.670 GHz,-108.776
4.675 GHz,-99.980
4.680 GHz,-98.278
4.685 GHz,-125.897
4.690 GHz,-100.250
4.695 GHz,-97.461
4.700 GHz,-113.260
4.705 GHz,-107.962
4.710 GHz,-103.597
4.715 GHz,-95.413
4.720 GHz,-101.538
4.725 GHz,-99.481
4.730 GHz,-112.136
4.735 GHz,-105.390
4.740 GHz,-101.225
4.745 GHz,-101.650
4.750 GHz,-105.818
4.755 GHz,-103.344
4.760 GHz,-106.235
4.765 GHz,-98.069
4.770 GHz,-94.163
4.775 GHz,-101.120
4.780 GHz,-95.602
4.785 GHz,-91.451
4.790 GHz,-118.137
4.795 GHz,-96.085
4.800 GHz,-102.796
4.805 GHz,-104.698
4.810 GHz,-102.281
4.815 GHz,-102.173
4.820 GHz,-100.022
4.825 GHz,-95.169
4.830 GHz,-106.205
4.835 GHz,-98.780
4.840 GHz,-105.506
4.845 GHz,-98.308
4.850 GHz,-101.878
4.855 GHz,-98.868
4.860 GHz,-98.634
4.865 GHz,-101.235
4.870 GHz,-98.197
4.875 GHz,-108.796
4.880 GHz,-103.382
4.885 GHz,-96.028
4.890 GHz,-99.064
4.895 GHz,-94.842
4.900 GHz,-102.517
4.905 GHz,-103.564
4.910 GHz,-106.019
4.915 GHz,-104.111
4.920 GHz,-97.963
4.925 GHz,-93.701
4.930 GHz,-97.039
4.935 GHz,-90.114
4.940 GHz,-88.313
4.945 GHz,-84.963
4.950 GHz,-85.478
4.955 GHz,-86.535
4.960 GHz,-90.868
4.965 GHz,-107.938
4.970 GHz,-91.047
4.975 GHz,-92.452
4.980 GHz,-103.365
4.985 GHz,-95.557
4.990 GHz,-104.316
4.995 GHz,-96.931
5.000 GHz,-95.457
5.005 GHz,-106.114
5.010 GHz,-101.508
5.015 GHz,-103.762
5.020 GHz,-101.071
5.025 GHz,-105.326
5.030 GHz,-98.089
5.035 GHz,-95.524
5.040 GHz,-101.342
5.045 GHz,-100.803
5.050 GHz,-109.355
5.055 GHz,-98.168
5.060 GHz,-95.606
5.065 GHz,-99.946
5.070 GHz,-117.165
5.075 GHz,-100.558
5.080 GHz,-98.883
5.085 GHz,-100.930
5.090 GHz,-104.004
5.095 GHz,-109.059
5.100 GHz,-101.840
5.105 GHz,-104.520
5.110 GHz,-103.990
5.115 GHz,-100.505
5.120 GHz,-102.987
5.125 GHz,-101.862
5.130 GHz,-117.134
5.135 GHz,-104.348
5.140 GHz,-120.736
5.145 GHz,-103.062
5.150 GHz,-96.350
5.155 GHz,-101.246
5.160 GHz,-97.275
5.165 GHz,-95.994
5.170 GHz,-105.081
5.175 GHz,-109.438
5.180 GHz,-109.236
5.185 GHz,-102.285
5.190 GHz,-115.894
5.195 GHz,-101.654
5.200 GHz,-98.226
5.205 GHz,-93.798
5.210 GHz,-116.664
5.215 GHz,-117.185
5.220 GHz,-100.766
5.225 GHz,-99.501
5.230 GHz,-107.828
5.235 GHz,-99.694
5.240 GHz,-107.215
5.245 GHz,-104.572
5.250 GHz,-99.437
5.255 GHz,-110.612
5.260 GHz,-103.470
5.265 GHz,-98.495
5.270 GHz,-100.320
5.275 GHz,-99.842
5.280 GHz,-98.612
5.285 GHz,-95.726
5.290 GHz,-104.616
5.295 GHz,-100.164
