"freq
References : ['dB(Gc)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","dB(Gc)
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
2.851 GHz,-22.161
2.851 GHz,1.938
2.851 GHz,24.082
2.851 GHz,-22.148
2.851 GHz,-6.021
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,-22.161
2.851 GHz,-4.082
2.851 GHz,18.167
2.851 GHz,1.938
2.851 GHz,<invalid>
2.851 GHz,-2.499
2.851 GHz,<invalid>
2.851 GHz,7.959
2.851 GHz,<invalid>
2.851 GHz,-22.148
2.851 GHz,<invalid>
2.851 GHz,24.187
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,18.167
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,-5.954
2.851 GHz,1.938
2.851 GHz,-6.038
2.851 GHz,-28.166
2.851 GHz,24.082
2.851 GHz,0.000
2.851 GHz,-22.154
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,5.265
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,-22.145
2.851 GHz,0.000
2.851 GHz,-22.154
2.851 GHz,14.645
2.851 GHz,-4.082
2.851 GHz,-4.082
2.851 GHz,0.000
2.851 GHz,-5.946
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,-0.001
2.851 GHz,14.645
2.851 GHz,<invalid>
2.851 GHz,-5.946
2.851 GHz,-22.154
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,0.000
2.851 GHz,13.306
2.851 GHz,-6.025
2.851 GHz,30.103
2.851 GHz,-5.933
2.851 GHz,-11.946
2.851 GHz,24.082
2.851 GHz,-0.012
2.851 GHz,4.437
2.851 GHz,1.938
2.851 GHz,0.000
2.851 GHz,-22.212
2.851 GHz,0.000
2.851 GHz,-11.917
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,-27.354
2.851 GHz,<invalid>
2.851 GHz,18.167
2.851 GHz,0.000
2.851 GHz,<invalid>
2.851 GHz,-5.954
2.851 GHz,20.665
2.851 GHz,<invalid>
2.851 GHz,30.103
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,1.938
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,-5.932
2.851 GHz,1.938
2.851 GHz,-5.925
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,-1.584
2.851 GHz,<invalid>
2.851 GHz,-21.343
2.851 GHz,30.103
2.851 GHz,-22.161
2.851 GHz,-1.584
2.851 GHz,-22.182
2.851 GHz,0.000
2.851 GHz,-0.025
2.851 GHz,-1.584
2.852 GHz,0.000
2.852 GHz,-5.925
2.852 GHz,-21.368
2.852 GHz,<invalid>
2.852 GHz,-5.946
2.852 GHz,30.103
2.852 GHz,-22.229
2.852 GHz,-6.021
2.852 GHz,-0.001
2.852 GHz,<invalid>
2.852 GHz,<invalid>
2.852 GHz,-5.942
2.852 GHz,-22.171
2.852 GHz,-6.030
2.852 GHz,-2.499
2.852 GHz,1.938
2.852 GHz,<invalid>
2.852 GHz,-22.171
2.852 GHz,<invalid>
2.852 GHz,30.103
2.852 GHz,-6.022
2.852 GHz,<invalid>
2.852 GHz,<invalid>
2.852 GHz,-22.182
2.852 GHz,<invalid>
2.852 GHz,1.938
2.852 GHz,14.645
2.852 GHz,-6.022
2.852 GHz,1.938
2.852 GHz,-6.021
2.852 GHz,-6.022
2.852 GHz,1.938
2.852 GHz,<invalid>
2.852 GHz,1.938
2.852 GHz,-22.161
2.852 GHz,-1.584
2.852 GHz,<invalid>
2.852 GHz,<invalid>
2.852 GHz,0.000
2.852 GHz,-22.171
2.852 GHz,-5.946
2.852 GHz,<invalid>
2.852 GHz,-22.196
2.852 GHz,-28.182
2.852 GHz,-6.030
2.852 GHz,-22.171
2.852 GHz,-22.229
2.852 GHz,-2.923
2.852 GHz,0.000
2.852 GHz,<invalid>
2.852 GHz,-22.182
2.852 GHz,-6.030
2.852 GHz,<invalid>
2.852 GHz,-22.196
2.852 GHz,<invalid>
2.852 GHz,-6.022
2.852 GHz,<invalid>
2.852 GHz,-22.161
2.852 GHz,<invalid>
2.852 GHz,-5.932
2.852 GHz,<invalid>
2.852 GHz,<invalid>
2.852 GHz,-21.354
2.852 GHz,<invalid>
2.852 GHz,-1.584
2.852 GHz,<invalid>
2.852 GHz,-6.025
2.852 GHz,<invalid>
2.852 GHz,-21.354
2.852 GHz,<invalid>
2.852 GHz,-22.182
2.852 GHz,1.938
2.852 GHz,-5.921
2.852 GHz,-6.022
2.852 GHz,<invalid>
2.852 GHz,-3.255
2.852 GHz,<invalid>
2.852 GHz,<invalid>
2.852 GHz,<invalid>
2.852 GHz,<invalid>
2.852 GHz,-22.161
2.852 GHz,<invalid>
2.852 GHz,-1.584
2.852 GHz,-6.022
2.852 GHz,0.000
2.852 GHz,<invalid>
2.852 GHz,0.000
2.852 GHz,<invalid>
2.852 GHz,-1.584
2.852 GHz,1.938
2.852 GHz,-1.584
2.852 GHz,-22.196
2.852 GHz,-2.923
2.852 GHz,<invalid>
2.852 GHz,0.000
2.852 GHz,0.000
2.852 GHz,16.250
2.852 GHz,-22.148
2.852 GHz,0.000
2.852 GHz,-2.923
2.852 GHz,-5.942
2.852 GHz,-11.941
2.852 GHz,24.082
2.852 GHz,-22.148
2.852 GHz,-22.171
2.852 GHz,<invalid>
2.852 GHz,-22.154
2.852 GHz,-22.154
2.852 GHz,2.766
2.852 GHz,<invalid>
2.852 GHz,<invalid>
2.852 GHz,<invalid>
2.852 GHz,2.766
2.852 GHz,-22.196
2.852 GHz,-5.933
2.852 GHz,0.000
2.852 GHz,<invalid>
2.852 GHz,-0.756
2.852 GHz,-22.154
2.852 GHz,-6.025
2.852 GHz,<invalid>
2.852 GHz,-6.004
2.852 GHz,<invalid>
2.852 GHz,<invalid>
2.852 GHz,-0.756
2.852 GHz,20.587
2.852 GHz,<invalid>
2.852 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,-22.148
2.853 GHz,-22.182
2.853 GHz,<invalid>
2.853 GHz,0.000
2.853 GHz,-5.942
2.853 GHz,-21.333
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,0.000
2.853 GHz,-22.148
2.853 GHz,<invalid>
2.853 GHz,-22.161
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,5.265
2.853 GHz,<invalid>
2.853 GHz,-22.161
2.853 GHz,<invalid>
2.853 GHz,0.000
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,-22.171
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,-6.025
2.853 GHz,<invalid>
2.853 GHz,1.938
2.853 GHz,<invalid>
2.853 GHz,-5.932
2.853 GHz,4.437
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,24.114
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,-5.942
2.853 GHz,-5.942
2.853 GHz,-22.182
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,1.938
2.853 GHz,-1.584
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,-22.182
2.853 GHz,18.167
2.853 GHz,-22.154
2.853 GHz,4.437
2.853 GHz,<invalid>
2.853 GHz,0.009
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,16.250
2.853 GHz,-6.021
2.853 GHz,-5.942
2.853 GHz,-22.154
2.853 GHz,-1.584
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,2.766
2.853 GHz,<invalid>
2.853 GHz,-5.954
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,-5.942
2.853 GHz,-22.171
2.853 GHz,16.228
2.853 GHz,-6.022
2.853 GHz,<invalid>
2.853 GHz,0.000
2.853 GHz,<invalid>
2.853 GHz,0.000
2.853 GHz,-2.923
2.853 GHz,-0.004
2.853 GHz,30.103
2.853 GHz,-22.182
2.853 GHz,-0.001
2.853 GHz,-6.021
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,18.167
2.853 GHz,1.584
2.853 GHz,-22.171
2.853 GHz,-1.584
2.853 GHz,-6.021
2.853 GHz,0.009
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,-5.967
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,3.521
2.853 GHz,<invalid>
2.853 GHz,-22.171
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,-6.022
2.853 GHz,0.000
2.853 GHz,-5.946
2.853 GHz,<invalid>
2.853 GHz,-6.022
2.853 GHz,1.938
2.853 GHz,-6.021
2.853 GHz,-0.756
2.853 GHz,0.000
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,0.000
2.853 GHz,14.645
2.853 GHz,-6.021
2.853 GHz,-22.161
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,-21.384
2.853 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,-22.171
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,-5.933
2.854 GHz,-22.161
2.854 GHz,4.437
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,-0.006
2.854 GHz,-22.171
2.854 GHz,16.228
2.854 GHz,-1.584
2.854 GHz,<invalid>
2.854 GHz,0.000
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,-28.167
2.854 GHz,0.000
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,-22.161
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,-5.933
2.854 GHz,0.009
2.854 GHz,<invalid>
2.854 GHz,-22.182
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,-6.022
2.854 GHz,0.000
2.854 GHz,-22.182
2.854 GHz,<invalid>
2.854 GHz,-22.182
2.854 GHz,<invalid>
2.854 GHz,-22.161
2.854 GHz,-22.161
2.854 GHz,-22.161
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,-22.154
2.854 GHz,0.000
2.854 GHz,-21.354
2.854 GHz,-1.584
2.854 GHz,-5.954
2.854 GHz,-5.933
2.854 GHz,-22.161
2.854 GHz,1.938
2.854 GHz,-22.196
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,-1.584
2.854 GHz,-1.584
2.854 GHz,0.828
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,-22.182
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,18.167
2.854 GHz,0.000
2.854 GHz,-2.497
2.854 GHz,0.000
2.854 GHz,-1.584
2.854 GHz,<invalid>
2.854 GHz,-1.584
2.854 GHz,<invalid>
2.854 GHz,-6.021
2.854 GHz,-5.937
2.854 GHz,-22.166
2.854 GHz,<invalid>
2.854 GHz,36.124
2.854 GHz,-6.021
2.854 GHz,-1.160
2.854 GHz,-22.176
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,36.124
2.854 GHz,0.000
2.854 GHz,-2.651E-4
2.854 GHz,<invalid>
2.854 GHz,0.000
2.854 GHz,<invalid>
2.854 GHz,-22.157
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,0.424
2.854 GHz,0.424
2.854 GHz,<invalid>
2.854 GHz,0.424
2.854 GHz,0.003
2.854 GHz,-5.943
2.854 GHz,-0.756
2.854 GHz,-5.929
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,0.000
2.854 GHz,-21.758
2.854 GHz,0.915
2.854 GHz,-22.171
2.854 GHz,16.239
2.854 GHz,-6.021
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,15.411
2.854 GHz,-6.021
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,-27.749
2.854 GHz,-6.021
2.854 GHz,15.401
2.854 GHz,-22.176
2.854 GHz,-0.828
2.854 GHz,-0.012
2.854 GHz,<invalid>
2.854 GHz,-6.021
2.854 GHz,-6.021
2.854 GHz,-0.404
2.854 GHz,<invalid>
2.854 GHz,-22.166
2.854 GHz,<invalid>
2.854 GHz,-0.404
2.854 GHz,-0.404
2.854 GHz,<invalid>
2.855 GHz,15.401
2.855 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,-22.166
2.855 GHz,<invalid>
2.855 GHz,-0.828
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,16.239
2.855 GHz,<invalid>
2.855 GHz,-0.404
2.855 GHz,-6.022
2.855 GHz,<invalid>
2.855 GHz,-12.041
2.855 GHz,<invalid>
2.855 GHz,-0.006
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,36.124
2.855 GHz,0.000
2.855 GHz,0.915
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,-6.021
2.855 GHz,0.000
2.855 GHz,-6.021
2.855 GHz,-6.001
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,-12.041
2.855 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,36.124
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,0.424
2.855 GHz,-21.752
2.855 GHz,1.938
2.855 GHz,-6.022
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,-22.176
2.855 GHz,<invalid>
2.855 GHz,16.228
2.855 GHz,-21.765
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,-21.758
2.855 GHz,<invalid>
2.855 GHz,-5.929
2.855 GHz,-21.354
2.855 GHz,<invalid>
2.855 GHz,-22.176
2.855 GHz,<invalid>
2.855 GHz,-6.023
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,-1.855
2.855 GHz,14.655
2.855 GHz,1.339
2.855 GHz,-5.937
2.855 GHz,<invalid>
2.855 GHz,0.915
2.855 GHz,-21.747
2.855 GHz,-5.942
2.855 GHz,<invalid>
2.855 GHz,-22.182
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,1.339
2.855 GHz,<invalid>
2.855 GHz,0.915
2.855 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,-0.828
2.855 GHz,36.124
2.855 GHz,15.401
2.855 GHz,<invalid>
2.855 GHz,-0.012
2.855 GHz,0.009
2.855 GHz,<invalid>
2.855 GHz,-21.338
2.855 GHz,0.008
2.855 GHz,-0.828
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,-6.021
2.855 GHz,-5.937
2.855 GHz,-5.948
2.855 GHz,<invalid>
2.855 GHz,-22.182
2.855 GHz,0.009
2.855 GHz,-5.933
2.855 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,-21.747
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,-0.404
2.855 GHz,-22.166
2.855 GHz,-22.171
2.855 GHz,0.915
2.855 GHz,<invalid>
2.855 GHz,-0.404
2.855 GHz,<invalid>
2.855 GHz,-22.166
2.855 GHz,-6.021
2.855 GHz,<invalid>
2.855 GHz,0.424
2.855 GHz,<invalid>
2.855 GHz,2.362
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,-22.166
2.855 GHz,<invalid>
2.855 GHz,-21.752
2.855 GHz,-0.828
2.856 GHz,-21.747
2.856 GHz,-0.828
2.856 GHz,-22.166
2.856 GHz,0.000
2.856 GHz,<invalid>
2.856 GHz,-21.758
2.856 GHz,0.915
2.856 GHz,-2.499
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,-0.404
2.856 GHz,-0.828
2.856 GHz,-6.021
2.856 GHz,-2.499
2.856 GHz,22.173
2.856 GHz,-6.021
2.856 GHz,-0.404
2.856 GHz,<invalid>
2.856 GHz,-6.021
2.856 GHz,1.339
2.856 GHz,36.124
2.856 GHz,<invalid>
2.856 GHz,-12.041
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,-22.166
2.856 GHz,<invalid>
2.856 GHz,-22.171
2.856 GHz,-21.758
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,-21.758
2.856 GHz,<invalid>
2.856 GHz,0.446
2.856 GHz,0.214
2.856 GHz,-6.021
2.856 GHz,-0.209
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,0.000
2.856 GHz,-0.001
2.856 GHz,-0.209
2.856 GHz,-6.021
2.856 GHz,-21.750
2.856 GHz,0.424
2.856 GHz,-6.021
2.856 GHz,-0.613
2.856 GHz,<invalid>
2.856 GHz,0.915
2.856 GHz,<invalid>
2.856 GHz,-21.965
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,-21.965
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,0.446
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,0.214
2.856 GHz,-6.627E-5
2.856 GHz,16.679
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,-21.956
2.856 GHz,0.214
2.856 GHz,0.214
2.856 GHz,0.001
2.856 GHz,0.003
2.856 GHz,-21.747
2.856 GHz,<invalid>
2.856 GHz,-21.752
2.856 GHz,-5.934
2.856 GHz,0.915
2.856 GHz,0.000
2.856 GHz,-6.021
2.856 GHz,<invalid>
2.856 GHz,-21.954
2.856 GHz,-6.021
2.856 GHz,<invalid>
2.856 GHz,0.446
2.856 GHz,-21.951
2.856 GHz,<invalid>
2.856 GHz,-21.951
2.856 GHz,-11.939
2.856 GHz,-22.171
2.856 GHz,-21.742
2.856 GHz,-5.940
2.856 GHz,-0.613
2.856 GHz,-6.021
2.856 GHz,-5.932
2.856 GHz,-0.209
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,0.004
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,-0.613
2.856 GHz,<invalid>
2.856 GHz,-21.951
2.856 GHz,-6.021
2.856 GHz,-21.956
2.856 GHz,42.144
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,0.003
2.856 GHz,-6.021
2.856 GHz,-11.939
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,-0.209
2.856 GHz,<invalid>
2.856 GHz,-21.956
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,-6.021
2.856 GHz,-5.929
2.856 GHz,-22.168
2.856 GHz,-6.021
2.856 GHz,<invalid>
2.856 GHz,-11.939
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,-5.932
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,-0.209
2.857 GHz,0.000
2.857 GHz,<invalid>
2.857 GHz,-0.209
2.857 GHz,-21.956
2.857 GHz,-21.959
2.857 GHz,<invalid>
2.857 GHz,-6.021
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,-22.067
2.857 GHz,0.785
2.857 GHz,-21.851
2.857 GHz,-21.855
2.857 GHz,<invalid>
2.857 GHz,-6.021
2.857 GHz,<invalid>
2.857 GHz,0.214
2.857 GHz,0.108
2.857 GHz,<invalid>
2.857 GHz,-5.933
2.857 GHz,<invalid>
2.857 GHz,-21.955
2.857 GHz,0.000
2.857 GHz,16.019
2.857 GHz,0.108
2.857 GHz,<invalid>
2.857 GHz,-22.061
2.857 GHz,-22.065
2.857 GHz,-12.041
2.857 GHz,<invalid>
2.857 GHz,-0.209
2.857 GHz,0.108
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,-21.855
2.857 GHz,-0.209
2.857 GHz,-6.000
2.857 GHz,0.540
2.857 GHz,-21.852
2.857 GHz,16.456
2.857 GHz,<invalid>
2.857 GHz,-21.956
2.857 GHz,<invalid>
2.857 GHz,48.165
2.857 GHz,<invalid>
2.857 GHz,-0.001
2.857 GHz,16.019
2.857 GHz,-22.063
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,-22.064
2.857 GHz,-0.316
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,-5.938
2.857 GHz,-21.956
2.857 GHz,<invalid>
2.857 GHz,-6.021
2.857 GHz,<invalid>
2.857 GHz,-5.938
2.857 GHz,<invalid>
2.857 GHz,-11.940
2.857 GHz,<invalid>
2.857 GHz,-22.011
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,-6.021
2.857 GHz,-21.958
2.857 GHz,-0.105
2.857 GHz,<invalid>
2.857 GHz,-6.021
2.857 GHz,-0.053
2.857 GHz,<invalid>
2.857 GHz,-21.957
2.857 GHz,-6.021
2.857 GHz,-22.011
2.857 GHz,-21.959
2.857 GHz,0.000
2.857 GHz,<invalid>
2.857 GHz,-5.940
2.857 GHz,16.019
2.857 GHz,-0.105
2.857 GHz,-6.021
2.857 GHz,0.000
2.857 GHz,<invalid>
2.857 GHz,0.027
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,-21.984
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,-6.000
2.857 GHz,16.019
2.857 GHz,-0.132
2.857 GHz,<invalid>
2.857 GHz,0.000
2.857 GHz,-0.013
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,-0.013
2.857 GHz,<invalid>
2.857 GHz,0.040
2.857 GHz,0.013
2.857 GHz,-5.939
2.857 GHz,<invalid>
2.857 GHz,78.268
2.857 GHz,-6.000
2.857 GHz,<invalid>
2.857 GHz,-6.021
2.857 GHz,84.288
2.857 GHz,-0.003
2.857 GHz,-21.964
2.857 GHz,<invalid>
2.857 GHz,-21.964
2.857 GHz,0.000
2.857 GHz,<invalid>
2.857 GHz,<invalid>
2.857 GHz,66.227
2.857 GHz,<invalid>
2.857 GHz,0.013
2.858 GHz,<invalid>
2.858 GHz,-21.984
2.858 GHz,-0.027
2.858 GHz,0.000
2.858 GHz,-0.053
2.858 GHz,0.000
2.858 GHz,<invalid>
2.858 GHz,-21.983
2.858 GHz,<invalid>
2.858 GHz,<invalid>
2.858 GHz,0.000
2.858 GHz,<invalid>
2.858 GHz,<invalid>
2.858 GHz,<invalid>
2.858 GHz,-5.939
2.858 GHz,-6.021
2.858 GHz,0.107
2.858 GHz,-21.957
2.858 GHz,-6.021
2.858 GHz,<invalid>
2.858 GHz,0.000
2.858 GHz,0.214
2.858 GHz,<invalid>
2.858 GHz,-21.959
2.858 GHz,0.000
2.858 GHz,<invalid>
2.858 GHz,-22.062
2.858 GHz,<invalid>
2.858 GHz,0.000
2.858 GHz,<invalid>
2.858 GHz,<invalid>
2.858 GHz,<invalid>
2.858 GHz,<invalid>
2.858 GHz,<invalid>
2.858 GHz,-21.957
2.858 GHz,-21.957
2.858 GHz,-21.957
2.858 GHz,-22.010
2.858 GHz,-21.956
2.858 GHz,<invalid>
2.858 GHz,-1.657E-5
2.858 GHz,<invalid>
2.858 GHz,<invalid>
2.858 GHz,<invalid>
2.858 GHz,<invalid>
2.858 GHz,<invalid>
2.858 GHz,<invalid>
2.858 GHz,48.165
2.858 GHz,0.000
2.858 GHz,-22.067
2.858 GHz,<invalid>
2.858 GHz,-0.209
2.858 GHz,-6.021
2.858 GHz,-21.955
2.858 GHz,0.000
2.858 GHz,<invalid>
2.858 GHz,16.234
2.858 GHz,0.000
2.858 GHz,-2.494
2.858 GHz,<invalid>
2.858 GHz,-5.934
2.858 GHz,<invalid>
2.858 GHz,-6.627E-5
2.858 GHz,0.105
2.858 GHz,<invalid>
2.858 GHz,-22.061
2.858 GHz,-0.107
2.858 GHz,<invalid>
2.858 GHz,0.105
2.858 GHz,<invalid>
2.858 GHz,16.236
2.858 GHz,-0.209
2.858 GHz,-6.021
2.858 GHz,<invalid>
2.858 GHz,<invalid>
2.858 GHz,-5.940
2.858 GHz,-21.954
2.858 GHz,<invalid>
2.858 GHz,-5.938
2.858 GHz,-21.852
2.858 GHz,<invalid>
2.858 GHz,<invalid>
2.858 GHz,<invalid>
2.858 GHz,<invalid>
