"freq
References : ['dB(analysis.SP.S(1,1))']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","dB(analysis.SP.S(1,1))
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
1.033 GHz,1.019
1.033 GHz,1.021
1.033 GHz,1.022
1.034 GHz,1.023
1.034 GHz,1.024
1.034 GHz,1.026
1.035 GHz,1.027
1.035 GHz,1.028
1.035 GHz,1.030
1.035 GHz,1.031
1.036 GHz,1.032
1.036 GHz,1.033
1.036 GHz,1.035
1.037 GHz,1.036
1.037 GHz,1.037
1.037 GHz,1.039
1.037 GHz,1.040
1.038 GHz,1.041
1.038 GHz,1.042
1.038 GHz,1.044
1.039 GHz,1.045
1.039 GHz,1.046
1.039 GHz,1.048
1.039 GHz,1.049
1.040 GHz,1.050
1.040 GHz,1.051
1.040 GHz,1.052
1.040 GHz,1.053
1.041 GHz,1.053
1.041 GHz,1.054
1.041 GHz,1.055
1.042 GHz,1.055
1.042 GHz,1.056
1.042 GHz,1.057
1.042 GHz,1.057
1.043 GHz,1.058
1.043 GHz,1.059
1.043 GHz,1.059
1.044 GHz,1.060
1.044 GHz,1.061
1.044 GHz,1.061
1.044 GHz,1.062
1.045 GHz,1.063
1.045 GHz,1.063
1.045 GHz,1.064
1.046 GHz,1.064
1.046 GHz,1.065
1.046 GHz,1.066
1.046 GHz,1.066
1.047 GHz,1.067
1.047 GHz,1.068
1.047 GHz,1.068
1.048 GHz,1.069
1.048 GHz,1.070
1.048 GHz,1.070
1.048 GHz,1.071
1.049 GHz,1.072
1.049 GHz,1.072
1.049 GHz,1.073
1.050 GHz,1.074
1.050 GHz,1.074
1.050 GHz,1.075
1.050 GHz,1.077
1.051 GHz,1.078
1.051 GHz,1.079
1.051 GHz,1.081
1.051 GHz,1.082
1.052 GHz,1.084
1.052 GHz,1.085
1.052 GHz,1.087
1.053 GHz,1.088
1.053 GHz,1.090
1.053 GHz,1.091
1.053 GHz,1.092
1.054 GHz,1.094
1.054 GHz,1.095
1.054 GHz,1.097
1.055 GHz,1.098
1.055 GHz,1.100
1.055 GHz,1.101
1.055 GHz,1.103
1.056 GHz,1.104
1.056 GHz,1.105
1.056 GHz,1.107
1.057 GHz,1.108
1.057 GHz,1.110
1.057 GHz,1.111
1.057 GHz,1.113
1.058 GHz,1.114
1.058 GHz,1.116
1.058 GHz,1.117
1.058 GHz,1.119
1.059 GHz,1.120
1.059 GHz,1.121
1.059 GHz,1.123
1.060 GHz,1.124
1.060 GHz,1.126
1.060 GHz,1.127
1.060 GHz,1.129
1.061 GHz,1.131
1.061 GHz,1.132
1.061 GHz,1.134
1.062 GHz,1.135
1.062 GHz,1.137
1.062 GHz,1.139
1.062 GHz,1.140
1.063 GHz,1.142
1.063 GHz,1.143
1.063 GHz,1.145
1.064 GHz,1.147
1.064 GHz,1.148
1.064 GHz,1.150
1.064 GHz,1.151
1.065 GHz,1.153
1.065 GHz,1.155
1.065 GHz,1.156
1.066 GHz,1.158
1.066 GHz,1.159
1.066 GHz,1.161
1.066 GHz,1.163
1.067 GHz,1.164
1.067 GHz,1.166
1.067 GHz,1.167
1.067 GHz,1.169
1.068 GHz,1.171
1.068 GHz,1.172
1.068 GHz,1.174
1.069 GHz,1.175
1.069 GHz,1.177
1.069 GHz,1.179
1.069 GHz,1.180
1.070 GHz,1.182
1.070 GHz,1.183
1.070 GHz,1.184
1.071 GHz,1.186
1.071 GHz,1.187
1.071 GHz,1.188
1.071 GHz,1.189
1.072 GHz,1.190
1.072 GHz,1.191
1.072 GHz,1.192
1.073 GHz,1.193
1.073 GHz,1.195
1.073 GHz,1.196
1.073 GHz,1.197
1.074 GHz,1.198
1.074 GHz,1.199
1.074 GHz,1.200
1.075 GHz,1.201
1.075 GHz,1.202
1.075 GHz,1.204
1.075 GHz,1.205
1.076 GHz,1.206
1.076 GHz,1.207
1.076 GHz,1.208
1.077 GHz,1.209
1.077 GHz,1.210
1.077 GHz,1.211
1.077 GHz,1.213
1.078 GHz,1.214
1.078 GHz,1.215
1.078 GHz,1.216
1.078 GHz,1.217
1.079 GHz,1.218
1.079 GHz,1.219
1.079 GHz,1.220
1.080 GHz,1.222
1.080 GHz,1.223
1.080 GHz,1.224
1.080 GHz,1.225
1.081 GHz,1.226
1.081 GHz,1.227
1.081 GHz,1.228
1.082 GHz,1.229
1.082 GHz,1.230
1.082 GHz,1.231
1.082 GHz,1.232
1.083 GHz,1.233
1.083 GHz,1.234
1.083 GHz,1.235
1.084 GHz,1.236
1.084 GHz,1.237
1.084 GHz,1.238
1.084 GHz,1.239
1.085 GHz,1.240
1.085 GHz,1.241
1.085 GHz,1.242
1.085 GHz,1.243
1.086 GHz,1.244
1.086 GHz,1.245
1.086 GHz,1.246
1.087 GHz,1.247
1.087 GHz,1.248
1.087 GHz,1.249
1.087 GHz,1.250
1.088 GHz,1.251
1.088 GHz,1.252
1.088 GHz,1.253
1.089 GHz,1.254
1.089 GHz,1.255
1.089 GHz,1.256
1.089 GHz,1.257
1.090 GHz,1.258
1.090 GHz,1.259
1.090 GHz,1.260
1.091 GHz,1.261
1.091 GHz,1.263
1.091 GHz,1.264
1.091 GHz,1.265
1.092 GHz,1.267
1.092 GHz,1.268
1.092 GHz,1.269
1.093 GHz,1.271
1.093 GHz,1.272
1.093 GHz,1.273
1.093 GHz,1.275
1.094 GHz,1.276
1.094 GHz,1.277
1.094 GHz,1.279
1.095 GHz,1.280
1.095 GHz,1.281
1.095 GHz,1.283
1.095 GHz,1.284
1.096 GHz,1.285
1.096 GHz,1.287
1.096 GHz,1.288
1.096 GHz,1.289
1.097 GHz,1.291
1.097 GHz,1.292
1.097 GHz,1.293
1.098 GHz,1.295
1.098 GHz,1.296
1.098 GHz,1.297
1.098 GHz,1.299
1.099 GHz,1.300
1.099 GHz,1.301
1.099 GHz,1.303
1.100 GHz,1.304
1.100 GHz,1.305
1.100 GHz,1.307
1.100 GHz,1.308
1.101 GHz,1.310
1.101 GHz,1.311
1.101 GHz,1.313
1.102 GHz,1.314
1.102 GHz,1.315
1.102 GHz,1.317
1.102 GHz,1.318
1.103 GHz,1.320
1.103 GHz,1.321
1.103 GHz,1.323
1.103 GHz,1.324
1.104 GHz,1.326
1.104 GHz,1.327
1.104 GHz,1.329
1.105 GHz,1.330
1.105 GHz,1.332
1.105 GHz,1.333
1.105 GHz,1.335
1.106 GHz,1.336
1.106 GHz,1.338
1.106 GHz,1.339
1.107 GHz,1.341
1.107 GHz,1.342
1.107 GHz,1.344
1.107 GHz,1.345
1.108 GHz,1.347
1.108 GHz,1.348
1.108 GHz,1.350
1.109 GHz,1.351
1.109 GHz,1.352
1.109 GHz,1.354
1.109 GHz,1.355
1.110 GHz,1.357
1.110 GHz,1.358
1.110 GHz,1.360
1.111 GHz,1.361
1.111 GHz,1.362
1.111 GHz,1.363
1.111 GHz,1.364
1.112 GHz,1.365
1.112 GHz,1.366
1.112 GHz,1.367
1.113 GHz,1.368
1.113 GHz,1.369
1.113 GHz,1.370
1.113 GHz,1.371
1.114 GHz,1.372
1.114 GHz,1.373
1.114 GHz,1.375
1.114 GHz,1.376
1.115 GHz,1.377
1.115 GHz,1.378
1.115 GHz,1.379
1.116 GHz,1.380
1.116 GHz,1.381
1.116 GHz,1.382
1.116 GHz,1.383
1.117 GHz,1.384
1.117 GHz,1.385
1.117 GHz,1.386
1.118 GHz,1.387
1.118 GHz,1.389
1.118 GHz,1.390
1.118 GHz,1.391
1.119 GHz,1.392
1.119 GHz,1.393
1.119 GHz,1.394
1.120 GHz,1.395
1.120 GHz,1.396
1.120 GHz,1.397
1.120 GHz,1.398
1.121 GHz,1.400
1.121 GHz,1.401
1.121 GHz,1.402
1.121 GHz,1.403
1.122 GHz,1.405
1.122 GHz,1.406
1.122 GHz,1.407
1.123 GHz,1.408
1.123 GHz,1.409
1.123 GHz,1.411
1.123 GHz,1.412
1.124 GHz,1.413
1.124 GHz,1.414
1.124 GHz,1.416
1.125 GHz,1.417
1.125 GHz,1.418
1.125 GHz,1.419
1.125 GHz,1.420
1.126 GHz,1.422
1.126 GHz,1.423
1.126 GHz,1.424
1.127 GHz,1.425
1.127 GHz,1.427
1.127 GHz,1.428
1.127 GHz,1.429
1.128 GHz,1.430
1.128 GHz,1.432
1.128 GHz,1.433
1.129 GHz,1.434
1.129 GHz,1.435
1.129 GHz,1.436
1.129 GHz,1.438
1.130 GHz,1.439
1.130 GHz,1.440
1.130 GHz,1.441
1.131 GHz,1.443
1.131 GHz,1.444
1.131 GHz,1.446
1.131 GHz,1.447
1.132 GHz,1.448
1.132 GHz,1.450
1.132 GHz,1.451
1.132 GHz,1.452
1.133 GHz,1.454
1.133 GHz,1.455
1.133 GHz,1.456
1.134 GHz,1.458
1.134 GHz,1.459
1.134 GHz,1.460
1.134 GHz,1.462
1.135 GHz,1.463
1.135 GHz,1.464
1.135 GHz,1.466
1.136 GHz,1.467
1.136 GHz,1.469
1.136 GHz,1.470
1.136 GHz,1.471
1.137 GHz,1.473
1.137 GHz,1.474
1.137 GHz,1.475
1.138 GHz,1.477
1.138 GHz,1.478
1.138 GHz,1.479
1.138 GHz,1.481
1.139 GHz,1.482
1.139 GHz,1.484
1.139 GHz,1.485
1.139 GHz,1.486
1.140 GHz,1.488
1.140 GHz,1.489
1.140 GHz,1.490
1.141 GHz,1.492
1.141 GHz,1.493
1.141 GHz,1.494
1.141 GHz,1.496
1.142 GHz,1.497
1.142 GHz,1.499
1.142 GHz,1.500
1.143 GHz,1.501
1.143 GHz,1.503
1.143 GHz,1.504
1.143 GHz,1.506
1.144 GHz,1.507
1.144 GHz,1.508
1.144 GHz,1.510
1.145 GHz,1.511
1.145 GHz,1.512
1.145 GHz,1.514
1.145 GHz,1.515
1.146 GHz,1.517
1.146 GHz,1.518
1.146 GHz,1.519
1.147 GHz,1.521
1.147 GHz,1.522
1.147 GHz,1.524
1.147 GHz,1.525
1.148 GHz,1.526
1.148 GHz,1.528
1.148 GHz,1.529
1.149 GHz,1.531
1.149 GHz,1.532
1.149 GHz,1.533
1.149 GHz,1.535
1.150 GHz,1.536
1.150 GHz,1.538
1.150 GHz,1.539
1.150 GHz,1.539
1.151 GHz,1.540
1.151 GHz,1.541
1.151 GHz,1.542
1.152 GHz,1.543
1.152 GHz,1.543
1.152 GHz,1.544
1.152 GHz,1.545
1.153 GHz,1.546
1.153 GHz,1.547
1.153 GHz,1.547
1.154 GHz,1.548
1.154 GHz,1.549
1.154 GHz,1.550
1.154 GHz,1.551
1.155 GHz,1.551
1.155 GHz,1.552
1.155 GHz,1.553
1.156 GHz,1.554
1.156 GHz,1.555
1.156 GHz,1.555
1.156 GHz,1.556
1.157 GHz,1.557
1.157 GHz,1.558
1.157 GHz,1.559
1.157 GHz,1.559
1.158 GHz,1.560
1.158 GHz,1.561
1.158 GHz,1.562
1.159 GHz,1.563
1.159 GHz,1.564
1.159 GHz,1.564
1.159 GHz,1.565
1.160 GHz,1.566
1.160 GHz,1.567
1.160 GHz,1.568
1.161 GHz,1.570
1.161 GHz,1.571
1.161 GHz,1.572
1.161 GHz,1.574
1.162 GHz,1.575
1.162 GHz,1.576
1.162 GHz,1.578
1.163 GHz,1.579
1.163 GHz,1.581
1.163 GHz,1.582
1.163 GHz,1.583
1.164 GHz,1.585
1.164 GHz,1.586
1.164 GHz,1.588
1.165 GHz,1.589
1.165 GHz,1.590
1.165 GHz,1.592
1.165 GHz,1.593
1.166 GHz,1.595
1.166 GHz,1.596
1.166 GHz,1.597
1.167 GHz,1.599
1.167 GHz,1.600
1.167 GHz,1.601
1.167 GHz,1.603
1.168 GHz,1.604
1.168 GHz,1.606
1.168 GHz,1.607
1.168 GHz,1.608
1.169 GHz,1.610
1.169 GHz,1.611
1.169 GHz,1.613
1.170 GHz,1.614
1.170 GHz,1.615
1.170 GHz,1.617
1.170 GHz,1.618
1.171 GHz,1.620
1.171 GHz,1.622
1.171 GHz,1.623
1.172 GHz,1.625
1.172 GHz,1.626
1.172 GHz,1.628
1.172 GHz,1.630
1.173 GHz,1.631
1.173 GHz,1.633
1.173 GHz,1.634
1.174 GHz,1.636
1.174 GHz,1.638
1.174 GHz,1.639
1.174 GHz,1.641
1.175 GHz,1.642
1.175 GHz,1.644
1.175 GHz,1.646
1.175 GHz,1.647
1.176 GHz,1.649
1.176 GHz,1.650
1.176 GHz,1.652
1.177 GHz,1.654
1.177 GHz,1.655
1.177 GHz,1.657
1.177 GHz,1.658
1.178 GHz,1.660
1.178 GHz,1.662
1.178 GHz,1.663
1.179 GHz,1.665
1.179 GHz,1.667
1.179 GHz,1.668
1.179 GHz,1.670
1.180 GHz,1.671
1.180 GHz,1.673
1.180 GHz,1.674
1.181 GHz,1.676
1.181 GHz,1.677
1.181 GHz,1.678
1.181 GHz,1.680
1.182 GHz,1.681
1.182 GHz,1.682
1.182 GHz,1.684
1.183 GHz,1.685
1.183 GHz,1.686
1.183 GHz,1.688
1.183 GHz,1.689
1.184 GHz,1.691
1.184 GHz,1.692
1.184 GHz,1.693
1.185 GHz,1.695
1.185 GHz,1.696
1.185 GHz,1.697
1.185 GHz,1.699
1.186 GHz,1.700
1.186 GHz,1.701
1.186 GHz,1.703
1.186 GHz,1.704
1.187 GHz,1.705
1.187 GHz,1.707
1.187 GHz,1.708
1.188 GHz,1.710
1.188 GHz,1.711
1.188 GHz,1.712
1.188 GHz,1.714
1.189 GHz,1.715
1.189 GHz,1.716
1.189 GHz,1.718
1.190 GHz,1.719
1.190 GHz,1.720
1.190 GHz,1.722
1.190 GHz,1.723
1.191 GHz,1.724
1.191 GHz,1.725
1.191 GHz,1.726
1.192 GHz,1.727
1.192 GHz,1.728
1.192 GHz,1.729
1.192 GHz,1.730
1.193 GHz,1.731
1.193 GHz,1.733
1.193 GHz,1.734
1.194 GHz,1.735
1.194 GHz,1.736
1.194 GHz,1.737
1.194 GHz,1.738
1.195 GHz,1.739
1.195 GHz,1.740
1.195 GHz,1.741
1.195 GHz,1.742
1.196 GHz,1.743
1.196 GHz,1.745
1.196 GHz,1.746
1.197 GHz,1.747
1.197 GHz,1.748
1.197 GHz,1.749
1.197 GHz,1.750
1.198 GHz,1.751
1.198 GHz,1.752
1.198 GHz,1.753
1.199 GHz,1.754
1.199 GHz,1.755
1.199 GHz,1.757
1.199 GHz,1.758
1.200 GHz,1.759
1.200 GHz,1.760
1.200 GHz,1.761
1.201 GHz,1.763
1.201 GHz,1.765
1.201 GHz,1.766
1.201 GHz,1.768
1.202 GHz,1.769
1.202 GHz,1.771
1.202 GHz,1.773
1.202 GHz,1.774
1.203 GHz,1.776
1.203 GHz,1.777
1.203 GHz,1.779
1.204 GHz,1.781
1.204 GHz,1.782
1.204 GHz,1.784
1.204 GHz,1.785
1.205 GHz,1.787
1.205 GHz,1.789
1.205 GHz,1.790
1.206 GHz,1.792
1.206 GHz,1.793
1.206 GHz,1.795
1.206 GHz,1.797
1.207 GHz,1.798
1.207 GHz,1.800
1.207 GHz,1.801
1.208 GHz,1.803
1.208 GHz,1.805
1.208 GHz,1.806
1.208 GHz,1.808
1.209 GHz,1.809
1.209 GHz,1.811
1.209 GHz,1.813
1.210 GHz,1.814
1.210 GHz,1.816
1.210 GHz,1.817
1.210 GHz,1.819
1.211 GHz,1.820
1.211 GHz,1.822
1.211 GHz,1.824
1.212 GHz,1.825
1.212 GHz,1.827
1.212 GHz,1.828
1.212 GHz,1.830
1.213 GHz,1.831
1.213 GHz,1.833
1.213 GHz,1.834
1.213 GHz,1.836
1.214 GHz,1.837
1.214 GHz,1.839
1.214 GHz,1.840
1.215 GHz,1.842
1.215 GHz,1.843
1.215 GHz,1.845
1.215 GHz,1.846
1.216 GHz,1.848
1.216 GHz,1.850
1.216 GHz,1.851
1.217 GHz,1.853
1.217 GHz,1.854
1.217 GHz,1.856
1.217 GHz,1.857
1.218 GHz,1.859
1.218 GHz,1.860
1.218 GHz,1.862
1.219 GHz,1.863
1.219 GHz,1.865
1.219 GHz,1.866
1.219 GHz,1.868
1.220 GHz,1.870
1.220 GHz,1.871
1.220 GHz,1.872
1.220 GHz,1.873
1.221 GHz,1.875
1.221 GHz,1.876
1.221 GHz,1.877
1.222 GHz,1.878
1.222 GHz,1.879
1.222 GHz,1.880
1.222 GHz,1.881
1.223 GHz,1.883
1.223 GHz,1.884
1.223 GHz,1.885
1.224 GHz,1.886
1.224 GHz,1.887
1.224 GHz,1.888
1.224 GHz,1.889
1.225 GHz,1.891
1.225 GHz,1.892
1.225 GHz,1.893
1.226 GHz,1.894
1.226 GHz,1.895
1.226 GHz,1.896
1.226 GHz,1.897
1.227 GHz,1.899
1.227 GHz,1.900
1.227 GHz,1.901
1.228 GHz,1.902
1.228 GHz,1.903
1.228 GHz,1.904
1.228 GHz,1.906
1.229 GHz,1.907
1.229 GHz,1.908
1.229 GHz,1.909
1.230 GHz,1.910
1.230 GHz,1.911
1.230 GHz,1.912
1.230 GHz,1.913
1.231 GHz,1.914
1.231 GHz,1.916
1.231 GHz,1.917
1.231 GHz,1.918
1.232 GHz,1.919
1.232 GHz,1.920
1.232 GHz,1.921
1.233 GHz,1.922
1.233 GHz,1.923
1.233 GHz,1.924
1.233 GHz,1.925
1.234 GHz,1.926
1.234 GHz,1.927
1.234 GHz,1.928
1.235 GHz,1.929
1.235 GHz,1.930
1.235 GHz,1.931
1.235 GHz,1.932
1.236 GHz,1.933
1.236 GHz,1.934
1.236 GHz,1.935
1.237 GHz,1.937
1.237 GHz,1.938
1.237 GHz,1.939
1.237 GHz,1.940
1.238 GHz,1.941
1.238 GHz,1.942
1.238 GHz,1.943
1.238 GHz,1.944
1.239 GHz,1.945
1.239 GHz,1.946
1.239 GHz,1.947
1.240 GHz,1.948
1.240 GHz,1.949
1.240 GHz,1.951
1.240 GHz,1.952
1.241 GHz,1.954
1.241 GHz,1.955
1.241 GHz,1.957
1.242 GHz,1.958
1.242 GHz,1.960
1.242 GHz,1.961
1.242 GHz,1.963
1.243 GHz,1.964
1.243 GHz,1.966
1.243 GHz,1.967
1.244 GHz,1.969
1.244 GHz,1.971
1.244 GHz,1.972
1.244 GHz,1.974
1.245 GHz,1.975
1.245 GHz,1.977
1.245 GHz,1.978
1.246 GHz,1.980
1.246 GHz,1.981
1.246 GHz,1.983
1.246 GHz,1.984
1.247 GHz,1.986
1.247 GHz,1.988
1.247 GHz,1.989
1.248 GHz,1.991
1.248 GHz,1.992
1.248 GHz,1.994
1.248 GHz,1.995
1.249 GHz,1.997
1.249 GHz,1.998
1.249 GHz,2.000
1.249 GHz,2.001
1.250 GHz,2.003
1.250 GHz,2.005
1.250 GHz,2.006
1.251 GHz,2.008
1.251 GHz,2.010
1.251 GHz,2.012
1.251 GHz,2.013
1.252 GHz,2.015
1.252 GHz,2.017
1.252 GHz,2.019
1.253 GHz,2.020
1.253 GHz,2.022
1.253 GHz,2.024
1.253 GHz,2.026
1.254 GHz,2.027
1.254 GHz,2.029
1.254 GHz,2.031
1.255 GHz,2.033
1.255 GHz,2.034
1.255 GHz,2.036
1.255 GHz,2.038
1.256 GHz,2.040
1.256 GHz,2.041
1.256 GHz,2.043
1.256 GHz,2.045
1.257 GHz,2.047
1.257 GHz,2.048
1.257 GHz,2.050
1.258 GHz,2.052
1.258 GHz,2.054
1.258 GHz,2.055
1.258 GHz,2.057
1.259 GHz,2.059
1.259 GHz,2.061
1.259 GHz,2.062
1.260 GHz,2.064
1.260 GHz,2.066
1.260 GHz,2.067
1.260 GHz,2.068
1.261 GHz,2.069
1.261 GHz,2.069
1.261 GHz,2.070
1.262 GHz,2.071
1.262 GHz,2.072
1.262 GHz,2.072
1.262 GHz,2.073
1.263 GHz,2.074
1.263 GHz,2.075
1.263 GHz,2.075
1.264 GHz,2.076
1.264 GHz,2.077
1.264 GHz,2.078
1.264 GHz,2.079
1.265 GHz,2.079
1.265 GHz,2.080
1.265 GHz,2.081
1.266 GHz,2.082
1.266 GHz,2.082
1.266 GHz,2.083
1.266 GHz,2.084
1.267 GHz,2.085
1.267 GHz,2.085
1.267 GHz,2.086
1.267 GHz,2.087
1.268 GHz,2.088
1.268 GHz,2.089
1.268 GHz,2.089
1.269 GHz,2.090
1.269 GHz,2.091
1.269 GHz,2.092
1.269 GHz,2.092
1.270 GHz,2.093
1.270 GHz,2.094
1.270 GHz,2.095
1.271 GHz,2.097
1.271 GHz,2.098
1.271 GHz,2.100
1.271 GHz,2.101
1.272 GHz,2.103
1.272 GHz,2.104
1.272 GHz,2.106
1.273 GHz,2.107
1.273 GHz,2.109
1.273 GHz,2.110
1.273 GHz,2.112
1.274 GHz,2.113
1.274 GHz,2.115
1.274 GHz,2.116
1.274 GHz,2.117
1.275 GHz,2.119
1.275 GHz,2.120
1.275 GHz,2.122
1.276 GHz,2.123
1.276 GHz,2.125
1.276 GHz,2.126
1.276 GHz,2.128
1.277 GHz,2.129
1.277 GHz,2.131
1.277 GHz,2.132
1.278 GHz,2.134
1.278 GHz,2.135
1.278 GHz,2.137
1.278 GHz,2.138
1.279 GHz,2.140
1.279 GHz,2.141
1.279 GHz,2.143
1.280 GHz,2.144
1.280 GHz,2.145
1.280 GHz,2.147
1.280 GHz,2.149
1.281 GHz,2.151
1.281 GHz,2.152
1.281 GHz,2.154
1.282 GHz,2.156
1.282 GHz,2.158
1.282 GHz,2.160
1.282 GHz,2.161
1.283 GHz,2.163
1.283 GHz,2.165
1.283 GHz,2.167
1.284 GHz,2.169
1.284 GHz,2.170
1.284 GHz,2.172
1.284 GHz,2.174
1.285 GHz,2.176
1.285 GHz,2.178
1.285 GHz,2.179
1.285 GHz,2.181
1.286 GHz,2.183
1.286 GHz,2.185
1.286 GHz,2.187
1.287 GHz,2.188
1.287 GHz,2.190
1.287 GHz,2.192
1.287 GHz,2.194
1.288 GHz,2.196
1.288 GHz,2.197
1.288 GHz,2.199
1.289 GHz,2.201
1.289 GHz,2.203
1.289 GHz,2.205
1.289 GHz,2.206
1.290 GHz,2.208
1.290 GHz,2.210
1.290 GHz,2.212
1.291 GHz,2.213
1.291 GHz,2.214
1.291 GHz,2.216
1.291 GHz,2.217
1.292 GHz,2.218
1.292 GHz,2.220
1.292 GHz,2.221
1.292 GHz,2.223
1.293 GHz,2.224
1.293 GHz,2.225
1.293 GHz,2.227
1.294 GHz,2.228
1.294 GHz,2.229
1.294 GHz,2.231
1.294 GHz,2.232
1.295 GHz,2.234
1.295 GHz,2.235
1.295 GHz,2.236
1.296 GHz,2.238
1.296 GHz,2.239
1.296 GHz,2.241
1.296 GHz,2.242
1.297 GHz,2.243
1.297 GHz,2.245
1.297 GHz,2.246
1.298 GHz,2.247
1.298 GHz,2.249
1.298 GHz,2.250
1.298 GHz,2.252
1.299 GHz,2.253
1.299 GHz,2.254
1.299 GHz,2.256
1.300 GHz,2.257
1.300 GHz,2.259
1.300 GHz,2.260
1.300 GHz,2.260
1.301 GHz,2.261
1.301 GHz,2.261
1.301 GHz,2.261
1.302 GHz,2.262
1.302 GHz,2.262
1.302 GHz,2.263
1.302 GHz,2.263
1.303 GHz,2.264
1.303 GHz,2.264
1.303 GHz,2.264
1.303 GHz,2.265
1.304 GHz,2.265
1.304 GHz,2.266
1.304 GHz,2.266
1.305 GHz,2.266
1.305 GHz,2.267
1.305 GHz,2.267
1.305 GHz,2.268
1.306 GHz,2.268
1.306 GHz,2.269
1.306 GHz,2.269
1.307 GHz,2.269
1.307 GHz,2.270
1.307 GHz,2.270
1.307 GHz,2.271
1.308 GHz,2.271
1.308 GHz,2.272
1.308 GHz,2.272
1.309 GHz,2.272
1.309 GHz,2.273
1.309 GHz,2.273
1.309 GHz,2.274
1.310 GHz,2.274
1.310 GHz,2.275
1.310 GHz,2.276
1.310 GHz,2.278
1.311 GHz,2.280
1.311 GHz,2.282
1.311 GHz,2.283
1.312 GHz,2.285
1.312 GHz,2.287
1.312 GHz,2.289
1.312 GHz,2.291
1.313 GHz,2.293
1.313 GHz,2.294
1.313 GHz,2.296
1.314 GHz,2.298
1.314 GHz,2.300
1.314 GHz,2.302
1.314 GHz,2.304
1.315 GHz,2.305
1.315 GHz,2.307
1.315 GHz,2.309
1.316 GHz,2.311
1.316 GHz,2.313
1.316 GHz,2.315
1.316 GHz,2.317
1.317 GHz,2.318
1.317 GHz,2.320
1.317 GHz,2.322
1.318 GHz,2.324
1.318 GHz,2.326
1.318 GHz,2.328
1.318 GHz,2.329
1.319 GHz,2.331
1.319 GHz,2.333
1.319 GHz,2.335
1.319 GHz,2.337
1.320 GHz,2.339
1.320 GHz,2.340
1.320 GHz,2.342
1.321 GHz,2.343
1.321 GHz,2.345
1.321 GHz,2.347
1.321 GHz,2.348
1.322 GHz,2.350
1.322 GHz,2.351
