"freq
References : ['dB(Gc)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","dB(Gc)
References : []
Dependency : [freq]
Num. Points : [501]
Matrix Size : scalar
Type : Real"
3.006 GHz,0.000
3.006 GHz,-10.444
3.007 GHz,1.413
3.007 GHz,-6.990
3.008 GHz,0.969
3.009 GHz,-3.919
3.009 GHz,-6.990
3.010 GHz,2.191
3.010 GHz,-1.998
3.010 GHz,-6.021
3.011 GHz,-6.021
3.011 GHz,-6.021
3.012 GHz,-6.990
3.013 GHz,-13.655
3.013 GHz,<invalid>
3.014 GHz,-10.000
3.014 GHz,1.339
3.014 GHz,<invalid>
3.015 GHz,3.522
3.015 GHz,-1.160
3.016 GHz,-10.000
3.017 GHz,-6.495
3.017 GHz,0.263
3.018 GHz,<invalid>
3.018 GHz,<invalid>
3.018 GHz,-12.553
3.019 GHz,-6.021
3.019 GHz,0.969
3.020 GHz,-6.021
3.021 GHz,-0.706
3.021 GHz,-16.021
3.022 GHz,-3.010
3.022 GHz,-3.010
3.022 GHz,-0.969
3.023 GHz,-2.197
3.023 GHz,-1.072
3.024 GHz,-6.021
3.025 GHz,<invalid>
3.025 GHz,-6.021
3.026 GHz,-3.468
3.026 GHz,-1.072
3.026 GHz,-9.031
3.027 GHz,-2.041
3.027 GHz,-9.031
3.028 GHz,0.969
3.029 GHz,<invalid>
3.029 GHz,-6.021
3.030 GHz,-3.979
3.030 GHz,-9.031
3.030 GHz,-9.031
3.031 GHz,-10.170
3.031 GHz,<invalid>
3.032 GHz,-3.010
3.033 GHz,-2.041
3.033 GHz,-6.021
3.034 GHz,-13.010
3.034 GHz,2.109
3.034 GHz,-13.655
3.035 GHz,0.000
3.035 GHz,-6.478
3.036 GHz,-13.010
3.037 GHz,-9.138
3.037 GHz,-8.062
3.038 GHz,-9.505
3.038 GHz,-3.979
3.038 GHz,-1.871
3.039 GHz,3.010
3.039 GHz,-4.082
3.040 GHz,6.990
3.041 GHz,-8.377
3.041 GHz,-9.031
3.042 GHz,-4.881
3.042 GHz,-6.527
3.042 GHz,-12.148
3.043 GHz,-21.072
3.043 GHz,<invalid>
3.044 GHz,-8.325
3.045 GHz,-8.325
3.045 GHz,1.139
3.046 GHz,-7.880
3.046 GHz,-9.031
3.046 GHz,-15.563
3.047 GHz,-9.356
3.047 GHz,0.881
3.048 GHz,-15.159
3.049 GHz,-15.170
3.049 GHz,-12.304
3.050 GHz,-7.746
3.050 GHz,-9.675
3.050 GHz,-20.663
3.051 GHz,-20.645
3.051 GHz,-11.264
3.052 GHz,-18.325
3.053 GHz,-10.000
3.053 GHz,-3.010
3.054 GHz,1.845
3.054 GHz,-0.270
3.054 GHz,-8.062
3.055 GHz,1.493
3.055 GHz,0.000
3.056 GHz,-4.285
3.057 GHz,-2.747
3.057 GHz,-12.212
3.058 GHz,-20.107
3.058 GHz,-3.886
3.058 GHz,-19.696
3.059 GHz,-4.082
3.059 GHz,-24.150
3.060 GHz,-3.010
3.061 GHz,-7.186
3.061 GHz,-11.228
3.062 GHz,-14.237
3.062 GHz,-3.468
3.062 GHz,8.603
3.063 GHz,-9.294
3.063 GHz,-4.654
3.064 GHz,-16.465
3.064 GHz,<invalid>
3.065 GHz,-27.033
3.066 GHz,-10.000
3.066 GHz,-7.634
3.067 GHz,-6.021
3.067 GHz,-11.308
3.067 GHz,5.757
3.068 GHz,-0.921
3.068 GHz,-6.990
3.069 GHz,-6.714
3.070 GHz,-8.486
3.070 GHz,-11.952
3.071 GHz,0.887
3.071 GHz,-5.105
3.071 GHz,-7.811
3.072 GHz,-12.041
3.072 GHz,-19.909
3.073 GHz,-4.175
3.074 GHz,-10.682
3.074 GHz,-11.978
3.075 GHz,-5.028
3.075 GHz,-12.855
3.075 GHz,-9.835
3.076 GHz,7.501
3.076 GHz,-26.609
3.077 GHz,-15.953
3.078 GHz,-4.818
3.078 GHz,-24.201
3.079 GHz,-18.422
3.079 GHz,-8.964
3.079 GHz,-9.766
3.080 GHz,-8.102
3.080 GHz,-18.581
3.081 GHz,-8.460
3.082 GHz,-30.663
3.082 GHz,-13.516
3.083 GHz,-8.541
3.083 GHz,-10.151
3.083 GHz,-10.427
3.084 GHz,-3.810
3.084 GHz,-12.075
3.085 GHz,-8.687
3.086 GHz,-9.669
3.086 GHz,3.493
3.087 GHz,-26.747
3.087 GHz,-5.509
3.087 GHz,-15.425
3.088 GHz,-8.850
3.088 GHz,-12.434
3.089 GHz,-5.345
3.090 GHz,-12.191
3.090 GHz,-12.041
3.091 GHz,-40.046
3.091 GHz,-12.697
3.091 GHz,-10.312
3.092 GHz,-16.248
3.092 GHz,-13.583
3.093 GHz,-25.640
3.094 GHz,-4.963
3.094 GHz,4.843
3.095 GHz,-14.093
3.095 GHz,-1.667
3.095 GHz,-19.738
3.096 GHz,-11.202
3.096 GHz,-20.864
3.097 GHz,-3.500
3.098 GHz,-9.326
3.098 GHz,-4.491
3.099 GHz,-6.191
3.099 GHz,-13.668
3.099 GHz,-0.196
3.100 GHz,-10.725
