"freq
References : ['dB(analysis.SP.S(1,1))']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","dB(analysis.SP.S(1,1))
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
1.064 GHz,-9.515
1.064 GHz,-9.516
1.065 GHz,-9.516
1.065 GHz,-9.516
1.065 GHz,-9.517
1.066 GHz,-9.517
1.066 GHz,-9.518
1.066 GHz,-9.518
1.066 GHz,-9.518
1.067 GHz,-9.519
1.067 GHz,-9.519
1.067 GHz,-9.520
1.067 GHz,-9.520
1.068 GHz,-9.521
1.068 GHz,-9.521
1.068 GHz,-9.522
1.069 GHz,-9.522
1.069 GHz,-9.523
1.069 GHz,-9.523
1.069 GHz,-9.524
1.070 GHz,-9.524
1.070 GHz,-9.525
1.070 GHz,-9.526
1.071 GHz,-9.526
1.071 GHz,-9.527
1.071 GHz,-9.528
1.071 GHz,-9.528
1.072 GHz,-9.529
1.072 GHz,-9.530
1.072 GHz,-9.531
1.073 GHz,-9.532
1.073 GHz,-9.532
1.073 GHz,-9.533
1.073 GHz,-9.534
1.074 GHz,-9.535
1.074 GHz,-9.536
1.074 GHz,-9.537
1.075 GHz,-9.538
1.075 GHz,-9.539
1.075 GHz,-9.540
1.075 GHz,-9.541
1.076 GHz,-9.541
1.076 GHz,-9.542
1.076 GHz,-9.543
1.077 GHz,-9.544
1.077 GHz,-9.545
1.077 GHz,-9.546
1.077 GHz,-9.547
1.078 GHz,-9.548
1.078 GHz,-9.549
1.078 GHz,-9.550
1.078 GHz,-9.551
1.079 GHz,-9.552
1.079 GHz,-9.553
1.079 GHz,-9.553
1.080 GHz,-9.554
1.080 GHz,-9.555
1.080 GHz,-9.556
1.080 GHz,-9.557
1.081 GHz,-9.558
1.081 GHz,-9.558
1.081 GHz,-9.559
1.082 GHz,-9.560
1.082 GHz,-9.561
1.082 GHz,-9.562
1.082 GHz,-9.563
1.083 GHz,-9.564
1.083 GHz,-9.565
1.083 GHz,-9.565
1.084 GHz,-9.566
1.084 GHz,-9.567
1.084 GHz,-9.568
1.084 GHz,-9.569
1.085 GHz,-9.570
1.085 GHz,-9.571
1.085 GHz,-9.572
1.085 GHz,-9.572
1.086 GHz,-9.573
1.086 GHz,-9.574
1.086 GHz,-9.575
1.087 GHz,-9.576
1.087 GHz,-9.576
1.087 GHz,-9.577
1.087 GHz,-9.578
1.088 GHz,-9.579
1.088 GHz,-9.579
1.088 GHz,-9.580
1.089 GHz,-9.581
1.089 GHz,-9.581
1.089 GHz,-9.582
1.089 GHz,-9.582
1.090 GHz,-9.583
1.090 GHz,-9.583
1.090 GHz,-9.584
1.091 GHz,-9.584
1.091 GHz,-9.584
1.091 GHz,-9.585
1.091 GHz,-9.585
1.092 GHz,-9.585
1.092 GHz,-9.586
1.092 GHz,-9.586
1.093 GHz,-9.586
1.093 GHz,-9.586
1.093 GHz,-9.586
1.093 GHz,-9.587
1.094 GHz,-9.587
1.094 GHz,-9.587
1.094 GHz,-9.587
1.095 GHz,-9.587
1.095 GHz,-9.587
1.095 GHz,-9.587
1.095 GHz,-9.587
1.096 GHz,-9.587
1.096 GHz,-9.587
1.096 GHz,-9.587
1.096 GHz,-9.587
1.097 GHz,-9.587
1.097 GHz,-9.587
1.097 GHz,-9.587
1.098 GHz,-9.587
1.098 GHz,-9.587
1.098 GHz,-9.587
1.098 GHz,-9.587
1.099 GHz,-9.587
1.099 GHz,-9.587
1.099 GHz,-9.587
1.100 GHz,-9.587
1.100 GHz,-9.587
1.100 GHz,-9.587
1.100 GHz,-9.587
1.101 GHz,-9.586
1.101 GHz,-9.586
1.101 GHz,-9.586
1.102 GHz,-9.586
1.102 GHz,-9.585
1.102 GHz,-9.585
1.102 GHz,-9.585
1.103 GHz,-9.584
1.103 GHz,-9.584
1.103 GHz,-9.584
1.103 GHz,-9.583
1.104 GHz,-9.583
1.104 GHz,-9.583
1.104 GHz,-9.582
1.105 GHz,-9.582
1.105 GHz,-9.581
1.105 GHz,-9.581
1.105 GHz,-9.581
1.106 GHz,-9.580
1.106 GHz,-9.580
1.106 GHz,-9.580
1.107 GHz,-9.579
1.107 GHz,-9.579
1.107 GHz,-9.579
1.107 GHz,-9.578
1.108 GHz,-9.578
1.108 GHz,-9.578
1.108 GHz,-9.578
1.109 GHz,-9.578
1.109 GHz,-9.578
1.109 GHz,-9.578
1.109 GHz,-9.578
1.110 GHz,-9.578
1.110 GHz,-9.578
1.110 GHz,-9.578
1.111 GHz,-9.578
1.111 GHz,-9.579
1.111 GHz,-9.579
1.111 GHz,-9.579
1.112 GHz,-9.580
1.112 GHz,-9.580
1.112 GHz,-9.581
1.113 GHz,-9.582
1.113 GHz,-9.582
1.113 GHz,-9.583
1.113 GHz,-9.584
1.114 GHz,-9.585
1.114 GHz,-9.585
1.114 GHz,-9.586
1.114 GHz,-9.587
1.115 GHz,-9.588
1.115 GHz,-9.588
1.115 GHz,-9.589
1.116 GHz,-9.590
1.116 GHz,-9.591
1.116 GHz,-9.592
1.116 GHz,-9.592
1.117 GHz,-9.593
1.117 GHz,-9.594
1.117 GHz,-9.594
1.118 GHz,-9.595
1.118 GHz,-9.595
1.118 GHz,-9.596
1.118 GHz,-9.596
1.119 GHz,-9.597
1.119 GHz,-9.597
1.119 GHz,-9.597
1.120 GHz,-9.598
1.120 GHz,-9.598
1.120 GHz,-9.598
1.120 GHz,-9.598
1.121 GHz,-9.598
1.121 GHz,-9.597
1.121 GHz,-9.597
1.121 GHz,-9.597
1.122 GHz,-9.597
1.122 GHz,-9.596
1.122 GHz,-9.596
1.123 GHz,-9.596
1.123 GHz,-9.595
1.123 GHz,-9.595
1.123 GHz,-9.594
1.124 GHz,-9.594
1.124 GHz,-9.593
1.124 GHz,-9.593
1.125 GHz,-9.592
1.125 GHz,-9.592
1.125 GHz,-9.591
1.125 GHz,-9.590
1.126 GHz,-9.590
1.126 GHz,-9.589
1.126 GHz,-9.589
1.127 GHz,-9.588
1.127 GHz,-9.587
1.127 GHz,-9.587
1.127 GHz,-9.586
1.128 GHz,-9.585
1.128 GHz,-9.585
1.128 GHz,-9.584
1.129 GHz,-9.583
1.129 GHz,-9.583
1.129 GHz,-9.582
1.129 GHz,-9.582
1.130 GHz,-9.581
1.130 GHz,-9.581
1.130 GHz,-9.580
1.131 GHz,-9.580
1.131 GHz,-9.579
1.131 GHz,-9.578
1.131 GHz,-9.578
1.132 GHz,-9.577
1.132 GHz,-9.577
1.132 GHz,-9.576
1.132 GHz,-9.576
1.133 GHz,-9.575
1.133 GHz,-9.575
1.133 GHz,-9.574
1.134 GHz,-9.574
1.134 GHz,-9.573
1.134 GHz,-9.573
1.134 GHz,-9.572
1.135 GHz,-9.571
1.135 GHz,-9.571
1.135 GHz,-9.570
1.136 GHz,-9.570
1.136 GHz,-9.569
1.136 GHz,-9.569
1.136 GHz,-9.568
1.137 GHz,-9.568
1.137 GHz,-9.567
1.137 GHz,-9.566
1.138 GHz,-9.566
1.138 GHz,-9.565
1.138 GHz,-9.565
1.138 GHz,-9.564
1.139 GHz,-9.564
1.139 GHz,-9.563
1.139 GHz,-9.563
1.139 GHz,-9.562
1.140 GHz,-9.561
1.140 GHz,-9.561
1.140 GHz,-9.560
1.141 GHz,-9.560
1.141 GHz,-9.559
1.141 GHz,-9.559
1.141 GHz,-9.558
1.142 GHz,-9.557
1.142 GHz,-9.557
1.142 GHz,-9.556
1.143 GHz,-9.555
1.143 GHz,-9.555
1.143 GHz,-9.554
1.143 GHz,-9.553
1.144 GHz,-9.553
1.144 GHz,-9.552
1.144 GHz,-9.551
1.145 GHz,-9.551
1.145 GHz,-9.550
1.145 GHz,-9.549
1.145 GHz,-9.549
1.146 GHz,-9.548
1.146 GHz,-9.547
1.146 GHz,-9.547
1.147 GHz,-9.546
1.147 GHz,-9.546
1.147 GHz,-9.545
1.147 GHz,-9.545
1.148 GHz,-9.544
1.148 GHz,-9.544
1.148 GHz,-9.544
1.149 GHz,-9.543
1.149 GHz,-9.543
1.149 GHz,-9.543
1.149 GHz,-9.542
1.150 GHz,-9.542
1.150 GHz,-9.542
1.150 GHz,-9.542
1.150 GHz,-9.542
1.151 GHz,-9.542
1.151 GHz,-9.542
1.151 GHz,-9.543
1.152 GHz,-9.543
1.152 GHz,-9.543
1.152 GHz,-9.544
1.152 GHz,-9.544
1.153 GHz,-9.545
1.153 GHz,-9.545
1.153 GHz,-9.546
1.154 GHz,-9.547
1.154 GHz,-9.547
1.154 GHz,-9.548
1.154 GHz,-9.549
1.155 GHz,-9.549
1.155 GHz,-9.550
1.155 GHz,-9.551
1.156 GHz,-9.552
1.156 GHz,-9.552
1.156 GHz,-9.553
1.156 GHz,-9.553
1.157 GHz,-9.554
1.157 GHz,-9.555
1.157 GHz,-9.555
1.157 GHz,-9.556
1.158 GHz,-9.556
1.158 GHz,-9.556
1.158 GHz,-9.557
1.159 GHz,-9.557
1.159 GHz,-9.557
1.159 GHz,-9.557
1.159 GHz,-9.557
1.160 GHz,-9.557
1.160 GHz,-9.557
1.160 GHz,-9.556
1.161 GHz,-9.556
1.161 GHz,-9.556
1.161 GHz,-9.555
1.161 GHz,-9.555
1.162 GHz,-9.554
1.162 GHz,-9.554
1.162 GHz,-9.553
1.163 GHz,-9.552
1.163 GHz,-9.551
1.163 GHz,-9.551
1.163 GHz,-9.550
1.164 GHz,-9.549
1.164 GHz,-9.548
1.164 GHz,-9.547
1.165 GHz,-9.546
1.165 GHz,-9.545
1.165 GHz,-9.544
1.165 GHz,-9.543
1.166 GHz,-9.542
1.166 GHz,-9.541
1.166 GHz,-9.540
1.167 GHz,-9.539
1.167 GHz,-9.538
1.167 GHz,-9.537
1.167 GHz,-9.536
1.168 GHz,-9.535
1.168 GHz,-9.533
1.168 GHz,-9.532
1.168 GHz,-9.531
1.169 GHz,-9.530
1.169 GHz,-9.529
1.169 GHz,-9.528
1.170 GHz,-9.526
1.170 GHz,-9.525
1.170 GHz,-9.524
1.170 GHz,-9.523
1.171 GHz,-9.522
1.171 GHz,-9.521
1.171 GHz,-9.519
1.172 GHz,-9.518
1.172 GHz,-9.516
1.172 GHz,-9.515
1.172 GHz,-9.514
1.173 GHz,-9.512
1.173 GHz,-9.511
1.173 GHz,-9.509
1.174 GHz,-9.508
1.174 GHz,-9.506
1.174 GHz,-9.505
1.174 GHz,-9.503
1.175 GHz,-9.502
1.175 GHz,-9.500
1.175 GHz,-9.499
1.175 GHz,-9.497
1.176 GHz,-9.496
1.176 GHz,-9.494
1.176 GHz,-9.493
1.177 GHz,-9.491
1.177 GHz,-9.490
1.177 GHz,-9.488
1.177 GHz,-9.487
1.178 GHz,-9.486
1.178 GHz,-9.484
1.178 GHz,-9.483
1.179 GHz,-9.482
1.179 GHz,-9.480
1.179 GHz,-9.479
1.179 GHz,-9.478
1.180 GHz,-9.477
1.180 GHz,-9.476
1.180 GHz,-9.475
1.181 GHz,-9.474
1.181 GHz,-9.473
1.181 GHz,-9.472
1.181 GHz,-9.472
1.182 GHz,-9.471
1.182 GHz,-9.470
1.182 GHz,-9.469
1.183 GHz,-9.469
1.183 GHz,-9.468
1.183 GHz,-9.467
1.183 GHz,-9.467
1.184 GHz,-9.466
1.184 GHz,-9.465
1.184 GHz,-9.465
1.185 GHz,-9.464
1.185 GHz,-9.464
1.185 GHz,-9.463
1.185 GHz,-9.463
1.186 GHz,-9.462
1.186 GHz,-9.462
1.186 GHz,-9.461
1.186 GHz,-9.461
1.187 GHz,-9.460
1.187 GHz,-9.460
1.187 GHz,-9.459
1.188 GHz,-9.459
1.188 GHz,-9.458
1.188 GHz,-9.458
1.188 GHz,-9.457
1.189 GHz,-9.457
1.189 GHz,-9.456
1.189 GHz,-9.456
1.190 GHz,-9.455
1.190 GHz,-9.455
1.190 GHz,-9.454
1.190 GHz,-9.453
1.191 GHz,-9.453
1.191 GHz,-9.453
1.191 GHz,-9.452
1.192 GHz,-9.452
1.192 GHz,-9.451
1.192 GHz,-9.451
1.192 GHz,-9.451
1.193 GHz,-9.450
1.193 GHz,-9.450
1.193 GHz,-9.450
1.194 GHz,-9.449
1.194 GHz,-9.449
1.194 GHz,-9.449
1.194 GHz,-9.448
1.195 GHz,-9.448
1.195 GHz,-9.448
1.195 GHz,-9.447
1.195 GHz,-9.447
1.196 GHz,-9.447
1.196 GHz,-9.446
1.196 GHz,-9.446
1.197 GHz,-9.446
1.197 GHz,-9.445
1.197 GHz,-9.445
1.197 GHz,-9.444
1.198 GHz,-9.444
1.198 GHz,-9.443
1.198 GHz,-9.442
1.199 GHz,-9.442
1.199 GHz,-9.441
1.199 GHz,-9.440
1.199 GHz,-9.439
1.200 GHz,-9.438
1.200 GHz,-9.437
1.200 GHz,-9.436
1.201 GHz,-9.435
1.201 GHz,-9.434
1.201 GHz,-9.433
1.201 GHz,-9.432
1.202 GHz,-9.430
1.202 GHz,-9.429
1.202 GHz,-9.427
1.202 GHz,-9.426
1.203 GHz,-9.425
1.203 GHz,-9.423
1.203 GHz,-9.421
1.204 GHz,-9.420
1.204 GHz,-9.418
1.204 GHz,-9.417
1.204 GHz,-9.415
1.205 GHz,-9.413
1.205 GHz,-9.412
1.205 GHz,-9.410
1.206 GHz,-9.408
1.206 GHz,-9.406
1.206 GHz,-9.405
1.206 GHz,-9.403
1.207 GHz,-9.401
1.207 GHz,-9.400
1.207 GHz,-9.398
1.208 GHz,-9.396
1.208 GHz,-9.395
1.208 GHz,-9.393
1.208 GHz,-9.392
1.209 GHz,-9.390
1.209 GHz,-9.389
1.209 GHz,-9.387
1.210 GHz,-9.386
1.210 GHz,-9.384
1.210 GHz,-9.383
1.210 GHz,-9.382
1.211 GHz,-9.380
1.211 GHz,-9.379
1.211 GHz,-9.378
1.212 GHz,-9.376
1.212 GHz,-9.375
1.212 GHz,-9.374
1.212 GHz,-9.372
1.213 GHz,-9.371
1.213 GHz,-9.370
1.213 GHz,-9.368
1.213 GHz,-9.367
1.214 GHz,-9.366
1.214 GHz,-9.364
1.214 GHz,-9.363
1.215 GHz,-9.362
1.215 GHz,-9.361
1.215 GHz,-9.359
1.215 GHz,-9.358
1.216 GHz,-9.357
1.216 GHz,-9.356
1.216 GHz,-9.355
1.217 GHz,-9.354
1.217 GHz,-9.352
1.217 GHz,-9.351
1.217 GHz,-9.350
1.218 GHz,-9.349
1.218 GHz,-9.348
1.218 GHz,-9.347
1.219 GHz,-9.346
1.219 GHz,-9.345
1.219 GHz,-9.344
1.219 GHz,-9.343
1.220 GHz,-9.343
1.220 GHz,-9.342
1.220 GHz,-9.341
1.220 GHz,-9.340
1.221 GHz,-9.340
1.221 GHz,-9.339
1.221 GHz,-9.338
1.222 GHz,-9.338
1.222 GHz,-9.337
1.222 GHz,-9.337
1.222 GHz,-9.336
1.223 GHz,-9.336
1.223 GHz,-9.335
1.223 GHz,-9.335
1.224 GHz,-9.335
1.224 GHz,-9.334
1.224 GHz,-9.334
1.224 GHz,-9.334
1.225 GHz,-9.333
1.225 GHz,-9.333
1.225 GHz,-9.333
1.226 GHz,-9.333
1.226 GHz,-9.332
1.226 GHz,-9.332
1.226 GHz,-9.332
1.227 GHz,-9.331
1.227 GHz,-9.331
1.227 GHz,-9.331
1.228 GHz,-9.331
1.228 GHz,-9.330
1.228 GHz,-9.330
1.228 GHz,-9.330
1.229 GHz,-9.329
1.229 GHz,-9.329
1.229 GHz,-9.328
1.230 GHz,-9.328
1.230 GHz,-9.327
1.230 GHz,-9.327
1.230 GHz,-9.326
1.231 GHz,-9.326
1.231 GHz,-9.325
1.231 GHz,-9.325
1.231 GHz,-9.324
1.232 GHz,-9.324
1.232 GHz,-9.323
1.232 GHz,-9.323
1.233 GHz,-9.322
1.233 GHz,-9.322
1.233 GHz,-9.321
1.233 GHz,-9.321
1.234 GHz,-9.320
1.234 GHz,-9.320
1.234 GHz,-9.319
1.235 GHz,-9.319
1.235 GHz,-9.318
1.235 GHz,-9.318
1.235 GHz,-9.317
1.236 GHz,-9.316
1.236 GHz,-9.316
1.236 GHz,-9.315
1.237 GHz,-9.315
1.237 GHz,-9.314
1.237 GHz,-9.313
1.237 GHz,-9.313
1.238 GHz,-9.312
1.238 GHz,-9.311
1.238 GHz,-9.310
1.238 GHz,-9.310
1.239 GHz,-9.309
1.239 GHz,-9.308
1.239 GHz,-9.307
1.240 GHz,-9.306
1.240 GHz,-9.305
1.240 GHz,-9.304
1.240 GHz,-9.303
1.241 GHz,-9.302
1.241 GHz,-9.301
1.241 GHz,-9.300
1.242 GHz,-9.299
1.242 GHz,-9.298
1.242 GHz,-9.297
1.242 GHz,-9.296
1.243 GHz,-9.295
1.243 GHz,-9.294
1.243 GHz,-9.293
1.244 GHz,-9.292
1.244 GHz,-9.291
1.244 GHz,-9.289
1.244 GHz,-9.288
1.245 GHz,-9.287
1.245 GHz,-9.286
1.245 GHz,-9.284
1.246 GHz,-9.283
1.246 GHz,-9.282
1.246 GHz,-9.281
1.246 GHz,-9.279
1.247 GHz,-9.278
1.247 GHz,-9.277
1.247 GHz,-9.275
1.248 GHz,-9.274
1.248 GHz,-9.272
1.248 GHz,-9.271
1.248 GHz,-9.270
1.249 GHz,-9.268
1.249 GHz,-9.267
1.249 GHz,-9.265
1.249 GHz,-9.264
1.250 GHz,-9.262
1.250 GHz,-9.261
1.250 GHz,-9.259
1.251 GHz,-9.258
1.251 GHz,-9.256
1.251 GHz,-9.254
1.251 GHz,-9.252
1.252 GHz,-9.251
1.252 GHz,-9.249
1.252 GHz,-9.247
1.253 GHz,-9.245
1.253 GHz,-9.243
1.253 GHz,-9.241
1.253 GHz,-9.239
1.254 GHz,-9.236
1.254 GHz,-9.234
1.254 GHz,-9.232
1.255 GHz,-9.230
1.255 GHz,-9.228
1.255 GHz,-9.226
1.255 GHz,-9.224
1.256 GHz,-9.222
1.256 GHz,-9.220
1.256 GHz,-9.218
1.256 GHz,-9.216
1.257 GHz,-9.214
1.257 GHz,-9.213
1.257 GHz,-9.211
1.258 GHz,-9.209
1.258 GHz,-9.208
1.258 GHz,-9.206
1.258 GHz,-9.205
1.259 GHz,-9.203
1.259 GHz,-9.202
1.259 GHz,-9.201
1.260 GHz,-9.200
1.260 GHz,-9.199
1.260 GHz,-9.198
1.260 GHz,-9.198
1.261 GHz,-9.197
1.261 GHz,-9.197
1.261 GHz,-9.197
1.262 GHz,-9.197
1.262 GHz,-9.197
1.262 GHz,-9.197
1.262 GHz,-9.197
1.263 GHz,-9.197
1.263 GHz,-9.197
1.263 GHz,-9.198
1.264 GHz,-9.198
1.264 GHz,-9.199
1.264 GHz,-9.199
1.264 GHz,-9.200
1.265 GHz,-9.200
1.265 GHz,-9.201
1.265 GHz,-9.201
1.266 GHz,-9.202
1.266 GHz,-9.203
1.266 GHz,-9.203
1.266 GHz,-9.204
1.267 GHz,-9.204
1.267 GHz,-9.205
1.267 GHz,-9.205
1.267 GHz,-9.205
1.268 GHz,-9.206
1.268 GHz,-9.206
1.268 GHz,-9.206
1.269 GHz,-9.206
1.269 GHz,-9.206
1.269 GHz,-9.206
1.269 GHz,-9.205
1.270 GHz,-9.205
1.270 GHz,-9.204
1.270 GHz,-9.204
1.271 GHz,-9.203
1.271 GHz,-9.202
1.271 GHz,-9.201
1.271 GHz,-9.200
1.272 GHz,-9.199
1.272 GHz,-9.198
1.272 GHz,-9.197
1.273 GHz,-9.195
1.273 GHz,-9.194
1.273 GHz,-9.193
1.273 GHz,-9.191
1.274 GHz,-9.190
1.274 GHz,-9.188
1.274 GHz,-9.187
1.274 GHz,-9.185
1.275 GHz,-9.184
1.275 GHz,-9.182
1.275 GHz,-9.180
1.276 GHz,-9.179
1.276 GHz,-9.177
1.276 GHz,-9.175
1.276 GHz,-9.174
1.277 GHz,-9.172
1.277 GHz,-9.170
1.277 GHz,-9.168
1.278 GHz,-9.167
1.278 GHz,-9.165
1.278 GHz,-9.163
1.278 GHz,-9.161
1.279 GHz,-9.160
1.279 GHz,-9.158
1.279 GHz,-9.156
1.280 GHz,-9.155
1.280 GHz,-9.153
1.280 GHz,-9.151
1.280 GHz,-9.150
1.281 GHz,-9.148
1.281 GHz,-9.146
1.281 GHz,-9.144
1.282 GHz,-9.142
1.282 GHz,-9.141
1.282 GHz,-9.139
1.282 GHz,-9.137
1.283 GHz,-9.135
1.283 GHz,-9.133
1.283 GHz,-9.131
1.284 GHz,-9.129
1.284 GHz,-9.127
1.284 GHz,-9.125
1.284 GHz,-9.123
1.285 GHz,-9.121
1.285 GHz,-9.119
1.285 GHz,-9.117
1.285 GHz,-9.115
1.286 GHz,-9.113
1.286 GHz,-9.111
1.286 GHz,-9.109
1.287 GHz,-9.107
1.287 GHz,-9.106
1.287 GHz,-9.104
1.287 GHz,-9.102
1.288 GHz,-9.100
1.288 GHz,-9.099
1.288 GHz,-9.097
1.289 GHz,-9.095
1.289 GHz,-9.094
1.289 GHz,-9.092
1.289 GHz,-9.091
1.290 GHz,-9.089
1.290 GHz,-9.088
1.290 GHz,-9.086
1.291 GHz,-9.085
1.291 GHz,-9.084
1.291 GHz,-9.083
1.291 GHz,-9.081
1.292 GHz,-9.080
1.292 GHz,-9.079
1.292 GHz,-9.078
1.292 GHz,-9.076
1.293 GHz,-9.075
1.293 GHz,-9.074
1.293 GHz,-9.073
1.294 GHz,-9.072
1.294 GHz,-9.071
1.294 GHz,-9.070
1.294 GHz,-9.069
1.295 GHz,-9.068
1.295 GHz,-9.067
1.295 GHz,-9.066
1.296 GHz,-9.065
1.296 GHz,-9.064
1.296 GHz,-9.064
1.296 GHz,-9.063
1.297 GHz,-9.062
1.297 GHz,-9.062
1.297 GHz,-9.061
