"freq
References : ['dBm(Vf)']
Dependency : [freq]
Num. Points : [1]
Matrix Size : scalar
Type : Real","dBm(Vf)
References : []
Dependency : [freq]
Num. Points : [2001]
Matrix Size : scalar
Type : Real"
840.0 MHz,-128.079
845.0 MHz,-134.861
850.0 MHz,-128.502
855.0 MHz,-134.582
860.0 MHz,-128.386
865.0 MHz,-134.760
870.0 MHz,-128.438
875.0 MHz,-134.430
880.0 MHz,-128.243
885.0 MHz,-134.621
890.0 MHz,-128.327
895.0 MHz,-134.502
900.0 MHz,-128.401
905.0 MHz,-137.214
910.0 MHz,-127.570
915.0 MHz,-134.429
920.0 MHz,-128.302
925.0 MHz,-134.059
930.0 MHz,-128.951
935.0 MHz,-134.269
940.0 MHz,-128.282
945.0 MHz,-134.100
950.0 MHz,-128.399
955.0 MHz,-134.479
960.0 MHz,-128.311
965.0 MHz,-134.073
970.0 MHz,-128.106
975.0 MHz,-132.741
980.0 MHz,-128.168
985.0 MHz,-133.863
990.0 MHz,-128.137
995.0 MHz,-133.935
1.000 GHz,-128.689
1.005 GHz,-133.868
1.010 GHz,-128.164
1.015 GHz,-133.617
1.020 GHz,-128.195
1.025 GHz,-133.836
1.030 GHz,-128.181
1.035 GHz,-133.688
1.040 GHz,-128.286
1.045 GHz,-133.033
1.050 GHz,-128.108
1.055 GHz,-133.561
1.060 GHz,-127.964
1.065 GHz,-130.000
1.070 GHz,-128.180
1.075 GHz,-133.304
1.080 GHz,-127.905
1.085 GHz,-133.491
1.090 GHz,-127.745
1.095 GHz,-133.362
1.100 GHz,-127.929
1.105 GHz,-133.176
1.110 GHz,-127.665
1.115 GHz,-133.277
1.120 GHz,-127.824
1.125 GHz,-132.980
1.130 GHz,-127.845
1.135 GHz,-133.432
1.140 GHz,-127.845
1.145 GHz,-133.021
1.150 GHz,-127.753
1.155 GHz,-130.222
1.160 GHz,-128.540
1.165 GHz,-132.787
1.170 GHz,-127.687
1.175 GHz,-132.699
1.180 GHz,-128.093
1.185 GHz,-132.590
1.190 GHz,-127.674
1.195 GHz,-132.601
1.200 GHz,-127.634
1.205 GHz,-132.837
1.210 GHz,-127.554
1.215 GHz,-132.474
1.220 GHz,-127.561
1.225 GHz,-133.201
1.230 GHz,-127.595
1.235 GHz,-132.324
1.240 GHz,-127.463
1.245 GHz,-132.263
1.250 GHz,-127.610
1.255 GHz,-132.215
1.260 GHz,-127.455
1.265 GHz,-132.096
1.270 GHz,-127.440
1.275 GHz,-132.001
1.280 GHz,-127.352
1.285 GHz,-132.157
1.290 GHz,-124.363
1.295 GHz,-131.709
1.300 GHz,-127.269
1.305 GHz,-131.798
1.310 GHz,-127.307
1.315 GHz,-131.237
1.320 GHz,-127.359
1.325 GHz,-131.672
1.330 GHz,-127.151
1.335 GHz,-131.818
1.340 GHz,-126.675
1.345 GHz,-131.594
1.350 GHz,-127.112
1.355 GHz,-131.470
1.360 GHz,-126.877
1.365 GHz,-131.275
1.370 GHz,-127.107
1.375 GHz,-131.291
1.380 GHz,-126.902
1.385 GHz,-131.179
1.390 GHz,-126.892
1.395 GHz,-131.151
1.400 GHz,-126.936
1.405 GHz,-126.790
1.410 GHz,-127.317
1.415 GHz,-131.016
1.420 GHz,-126.867
1.425 GHz,-130.847
1.430 GHz,-126.995
1.435 GHz,-130.822
1.440 GHz,-126.733
1.445 GHz,-130.817
1.450 GHz,-127.014
1.455 GHz,-130.726
1.460 GHz,-126.739
1.465 GHz,-130.719
1.470 GHz,-126.593
1.475 GHz,-130.835
1.480 GHz,-126.568
1.485 GHz,-130.359
1.490 GHz,-126.559
1.495 GHz,-130.015
1.500 GHz,-126.747
1.505 GHz,-130.391
1.510 GHz,-126.519
1.515 GHz,-130.263
1.520 GHz,-126.494
1.525 GHz,-130.099
1.530 GHz,-126.295
1.535 GHz,-130.130
1.540 GHz,-126.518
1.545 GHz,-129.836
1.550 GHz,-126.367
1.555 GHz,-130.015
1.560 GHz,-126.264
1.565 GHz,-125.918
1.570 GHz,-126.221
1.575 GHz,-129.657
1.580 GHz,-126.118
1.585 GHz,-130.010
1.590 GHz,-125.653
1.595 GHz,-129.644
1.600 GHz,-126.090
1.605 GHz,-129.582
1.610 GHz,-125.674
1.615 GHz,-129.374
1.620 GHz,-125.943
1.625 GHz,-129.254
1.630 GHz,-126.016
1.635 GHz,-129.253
1.640 GHz,-125.835
1.645 GHz,-129.296
1.650 GHz,-125.784
1.655 GHz,-128.158
1.660 GHz,-125.779
1.665 GHz,-128.967
1.670 GHz,-125.735
1.675 GHz,-128.731
1.680 GHz,-120.920
1.685 GHz,-125.625
1.690 GHz,-125.599
1.695 GHz,-128.910
1.700 GHz,-125.625
1.705 GHz,-128.806
1.710 GHz,-125.459
1.715 GHz,-128.519
1.720 GHz,-125.608
1.725 GHz,-129.870
1.730 GHz,-125.394
1.735 GHz,-128.434
1.740 GHz,-125.317
1.745 GHz,-128.044
1.750 GHz,-125.336
1.755 GHz,-128.304
1.760 GHz,-125.229
1.765 GHz,-128.002
1.770 GHz,-125.240
1.775 GHz,-127.931
1.780 GHz,-125.070
1.785 GHz,-128.066
1.790 GHz,-124.957
1.795 GHz,-128.041
1.800 GHz,-124.986
1.805 GHz,-127.734
1.810 GHz,-125.043
1.815 GHz,-124.688
1.820 GHz,-124.841
1.825 GHz,-127.600
1.830 GHz,-124.729
1.835 GHz,-127.873
1.840 GHz,-124.494
1.845 GHz,-127.483
1.850 GHz,-124.676
1.855 GHz,-127.262
1.860 GHz,-124.363
1.865 GHz,-127.134
1.870 GHz,-124.576
1.875 GHz,-127.162
1.880 GHz,-124.031
1.885 GHz,-126.795
1.890 GHz,-124.333
1.895 GHz,-126.944
1.900 GHz,-124.370
1.905 GHz,-126.561
1.910 GHz,-124.267
1.915 GHz,-126.762
1.920 GHz,-124.239
1.925 GHz,-126.559
1.930 GHz,-124.163
1.935 GHz,-126.609
1.940 GHz,-123.982
1.945 GHz,-126.493
1.950 GHz,-124.351
1.955 GHz,-126.311
1.960 GHz,-123.959
1.965 GHz,-126.275
1.970 GHz,-123.725
1.975 GHz,-126.238
1.980 GHz,-123.753
1.985 GHz,-126.067
1.990 GHz,-123.715
1.995 GHz,-125.723
2.000 GHz,-123.582
2.005 GHz,-125.891
2.010 GHz,-123.571
2.015 GHz,-125.715
2.020 GHz,-123.803
2.025 GHz,-125.649
2.030 GHz,-123.315
2.035 GHz,-125.529
2.040 GHz,-123.763
2.045 GHz,-125.514
2.050 GHz,-123.288
2.055 GHz,-125.370
2.060 GHz,-123.197
2.065 GHz,-117.616
2.070 GHz,-123.039
2.075 GHz,-125.049
2.080 GHz,-122.923
2.085 GHz,-125.253
2.090 GHz,-122.717
2.095 GHz,-124.900
2.100 GHz,-122.868
2.105 GHz,-124.882
2.110 GHz,-122.537
2.115 GHz,-124.763
2.120 GHz,-122.610
2.125 GHz,-124.504
2.130 GHz,-122.272
2.135 GHz,-124.200
2.140 GHz,-122.437
2.145 GHz,-124.354
2.150 GHz,-122.375
2.155 GHz,-124.872
2.160 GHz,-122.317
2.165 GHz,-124.129
2.170 GHz,-122.171
2.175 GHz,-123.864
2.180 GHz,-121.991
2.185 GHz,-123.794
2.190 GHz,-121.981
2.195 GHz,-123.832
2.200 GHz,-121.879
2.205 GHz,-123.715
2.210 GHz,-121.784
2.215 GHz,-123.411
2.220 GHz,-121.810
2.225 GHz,-123.706
2.230 GHz,-121.572
2.235 GHz,-123.243
2.240 GHz,-121.492
2.245 GHz,-122.815
2.250 GHz,-121.399
2.255 GHz,-122.996
2.260 GHz,-121.227
2.265 GHz,-122.682
2.270 GHz,-121.227
2.275 GHz,-122.602
2.280 GHz,-121.046
2.285 GHz,-122.624
2.290 GHz,-121.041
2.295 GHz,-122.579
2.300 GHz,-120.806
2.305 GHz,-122.261
2.310 GHz,-120.578
2.315 GHz,-121.222
2.320 GHz,-120.473
2.325 GHz,-121.948
2.330 GHz,-120.421
2.335 GHz,-121.922
2.340 GHz,-120.333
2.345 GHz,-121.738
2.350 GHz,-120.179
2.355 GHz,-121.542
2.360 GHz,-119.897
2.365 GHz,-121.363
2.370 GHz,-119.948
2.375 GHz,-121.241
2.380 GHz,-119.276
2.385 GHz,-120.968
2.390 GHz,-119.615
2.395 GHz,-120.925
2.400 GHz,-119.543
2.405 GHz,-121.160
2.410 GHz,-119.374
2.415 GHz,-120.596
2.420 GHz,-119.250
2.425 GHz,-120.445
2.430 GHz,-119.114
2.435 GHz,-120.278
2.440 GHz,-118.861
2.445 GHz,-120.074
2.450 GHz,-118.870
2.455 GHz,-119.903
2.460 GHz,-118.642
2.465 GHz,-119.733
2.470 GHz,-118.296
2.475 GHz,-119.564
2.480 GHz,-118.220
2.485 GHz,-119.408
2.490 GHz,-118.084
2.495 GHz,-119.138
2.500 GHz,-117.897
2.505 GHz,-118.989
2.510 GHz,-117.769
2.515 GHz,-118.765
2.520 GHz,-117.744
2.525 GHz,-118.631
2.530 GHz,-117.336
2.535 GHz,-118.407
2.540 GHz,-117.564
2.545 GHz,-118.266
2.550 GHz,-117.012
2.555 GHz,-118.019
2.560 GHz,-116.688
2.565 GHz,-117.433
2.570 GHz,-116.572
2.575 GHz,-117.561
2.580 GHz,-116.351
2.585 GHz,-117.379
2.590 GHz,-116.101
2.595 GHz,-117.125
2.600 GHz,-115.947
2.605 GHz,-117.025
2.610 GHz,-115.634
2.615 GHz,-116.698
2.620 GHz,-115.427
2.625 GHz,-116.351
2.630 GHz,-114.704
2.635 GHz,-116.052
2.640 GHz,-114.932
2.645 GHz,-115.921
2.650 GHz,-114.726
2.655 GHz,-115.967
2.660 GHz,-114.433
2.665 GHz,-115.388
2.670 GHz,-114.079
2.675 GHz,-115.035
2.680 GHz,-113.793
2.685 GHz,-114.756
2.690 GHz,-113.513
2.695 GHz,-114.561
2.700 GHz,-113.129
2.705 GHz,-114.233
2.710 GHz,-112.863
2.715 GHz,-113.806
2.720 GHz,-112.015
2.725 GHz,-113.336
2.730 GHz,-112.141
2.735 GHz,-113.220
2.740 GHz,-111.790
2.745 GHz,-112.704
2.750 GHz,-111.420
2.755 GHz,-112.492
2.760 GHz,-110.937
2.765 GHz,-111.977
2.770 GHz,-110.565
2.775 GHz,-111.685
2.780 GHz,-110.067
2.785 GHz,-111.348
2.790 GHz,-109.597
2.795 GHz,-110.897
2.800 GHz,-109.042
2.805 GHz,-110.403
2.810 GHz,-108.333
2.815 GHz,-109.670
2.820 GHz,-107.884
2.825 GHz,-109.412
2.830 GHz,-107.245
2.835 GHz,-108.799
2.840 GHz,-106.577
2.845 GHz,-108.385
2.850 GHz,-105.780
2.855 GHz,-107.779
2.860 GHz,-104.942
2.865 GHz,-107.145
2.870 GHz,-104.052
2.875 GHz,-106.510
2.880 GHz,-102.695
2.885 GHz,-105.775
2.890 GHz,-101.869
2.895 GHz,-105.163
2.900 GHz,-100.565
2.905 GHz,-104.562
2.910 GHz,-99.018
2.915 GHz,-103.812
2.920 GHz,-97.194
2.925 GHz,-103.540
2.930 GHz,-94.973
2.935 GHz,-104.123
2.940 GHz,-92.146
2.945 GHz,-111.818
2.950 GHz,-88.562
2.955 GHz,-94.599
2.960 GHz,-87.274
2.965 GHz,-84.931
2.970 GHz,-16.681
2.975 GHz,-30.023
2.980 GHz,-79.130
2.985 GHz,-87.040
2.990 GHz,-96.321
2.995 GHz,-89.342
3.000 GHz,-120.970
3.005 GHz,-92.605
3.010 GHz,-107.190
3.015 GHz,-95.140
3.020 GHz,-106.133
3.025 GHz,-97.207
3.030 GHz,-105.868
3.035 GHz,-98.907
3.040 GHz,-106.375
3.045 GHz,-100.351
3.050 GHz,-106.905
3.055 GHz,-101.639
3.060 GHz,-107.382
3.065 GHz,-102.642
3.070 GHz,-108.136
3.075 GHz,-103.677
3.080 GHz,-108.712
3.085 GHz,-104.582
3.090 GHz,-109.291
3.095 GHz,-105.364
3.100 GHz,-109.841
3.105 GHz,-106.274
3.110 GHz,-110.349
3.115 GHz,-106.783
3.120 GHz,-110.876
3.125 GHz,-107.396
3.130 GHz,-110.827
3.135 GHz,-107.926
3.140 GHz,-111.802
3.145 GHz,-108.567
3.150 GHz,-112.237
3.155 GHz,-108.969
3.160 GHz,-112.684
3.165 GHz,-109.559
3.170 GHz,-113.098
3.175 GHz,-110.046
3.180 GHz,-113.460
3.185 GHz,-110.422
3.190 GHz,-113.854
3.195 GHz,-110.900
3.200 GHz,-114.183
3.205 GHz,-111.246
3.210 GHz,-114.572
3.215 GHz,-111.639
3.220 GHz,-113.291
3.225 GHz,-111.819
3.230 GHz,-115.202
3.235 GHz,-112.334
3.240 GHz,-115.558
3.245 GHz,-112.522
3.250 GHz,-115.849
3.255 GHz,-112.985
3.260 GHz,-116.182
3.265 GHz,-113.349
3.270 GHz,-116.405
3.275 GHz,-113.577
3.280 GHz,-116.751
3.285 GHz,-113.867
3.290 GHz,-117.131
3.295 GHz,-114.141
3.300 GHz,-117.278
3.305 GHz,-114.418
3.310 GHz,-117.416
3.315 GHz,-114.587
3.320 GHz,-117.792
3.325 GHz,-114.917
3.330 GHz,-118.071
3.335 GHz,-115.165
3.340 GHz,-118.261
3.345 GHz,-115.401
3.350 GHz,-118.546
3.355 GHz,-115.703
3.360 GHz,-118.683
3.365 GHz,-115.875
3.370 GHz,-118.995
3.375 GHz,-116.070
3.380 GHz,-120.382
3.385 GHz,-116.289
3.390 GHz,-119.438
3.395 GHz,-116.485
3.400 GHz,-119.657
3.405 GHz,-116.632
3.410 GHz,-119.864
3.415 GHz,-116.896
3.420 GHz,-120.076
3.425 GHz,-117.080
3.430 GHz,-120.226
3.435 GHz,-117.264
3.440 GHz,-120.480
3.445 GHz,-117.468
3.450 GHz,-120.664
3.455 GHz,-117.635
3.460 GHz,-120.857
3.465 GHz,-117.820
3.470 GHz,-120.039
3.475 GHz,-117.982
3.480 GHz,-121.236
3.485 GHz,-118.139
3.490 GHz,-121.500
3.495 GHz,-118.273
3.500 GHz,-121.612
3.505 GHz,-118.491
3.510 GHz,-121.767
3.515 GHz,-118.600
3.520 GHz,-121.914
3.525 GHz,-118.778
3.530 GHz,-122.177
3.535 GHz,-118.976
3.540 GHz,-122.078
3.545 GHz,-119.095
3.550 GHz,-122.484
3.555 GHz,-119.250
3.560 GHz,-123.038
3.565 GHz,-119.459
3.570 GHz,-122.769
3.575 GHz,-119.524
3.580 GHz,-123.171
3.585 GHz,-119.802
3.590 GHz,-123.242
3.595 GHz,-119.807
3.600 GHz,-123.276
3.605 GHz,-119.909
3.610 GHz,-123.325
3.615 GHz,-120.063
3.620 GHz,-123.711
3.625 GHz,-120.211
3.630 GHz,-124.800
3.635 GHz,-120.325
3.640 GHz,-124.003
3.645 GHz,-120.433
3.650 GHz,-123.904
3.655 GHz,-120.540
3.660 GHz,-124.170
3.665 GHz,-120.699
3.670 GHz,-124.495
3.675 GHz,-120.716
3.680 GHz,-124.591
3.685 GHz,-120.944
3.690 GHz,-124.663
3.695 GHz,-120.842
3.700 GHz,-124.985
3.705 GHz,-121.155
3.710 GHz,-124.990
3.715 GHz,-121.255
3.720 GHz,-123.350
3.725 GHz,-121.366
3.730 GHz,-125.321
3.735 GHz,-121.523
3.740 GHz,-125.250
3.745 GHz,-121.582
3.750 GHz,-125.451
3.755 GHz,-121.660
3.760 GHz,-125.723
3.765 GHz,-121.870
3.770 GHz,-125.872
3.775 GHz,-121.944
3.780 GHz,-126.010
3.785 GHz,-121.986
3.790 GHz,-126.051
3.795 GHz,-122.120
3.800 GHz,-126.147
3.805 GHz,-122.168
3.810 GHz,-126.531
3.815 GHz,-122.247
3.820 GHz,-126.534
3.825 GHz,-122.467
3.830 GHz,-126.777
3.835 GHz,-122.952
3.840 GHz,-126.776
3.845 GHz,-122.536
3.850 GHz,-126.825
3.855 GHz,-123.177
3.860 GHz,-126.659
3.865 GHz,-122.797
3.870 GHz,-127.124
3.875 GHz,-123.073
3.880 GHz,-117.703
3.885 GHz,-123.018
3.890 GHz,-127.387
3.895 GHz,-122.970
3.900 GHz,-127.372
3.905 GHz,-122.941
3.910 GHz,-127.608
3.915 GHz,-123.312
3.920 GHz,-127.618
3.925 GHz,-123.274
3.930 GHz,-127.840
3.935 GHz,-123.363
3.940 GHz,-127.999
3.945 GHz,-123.063
3.950 GHz,-128.244
3.955 GHz,-123.561
3.960 GHz,-128.282
3.965 GHz,-123.739
3.970 GHz,-127.632
3.975 GHz,-123.840
3.980 GHz,-128.364
3.985 GHz,-123.753
3.990 GHz,-128.548
3.995 GHz,-123.575
4.000 GHz,-128.759
4.005 GHz,-124.013
4.010 GHz,-128.789
4.015 GHz,-124.266
4.020 GHz,-128.905
4.025 GHz,-124.185
4.030 GHz,-129.131
4.035 GHz,-123.541
4.040 GHz,-130.065
4.045 GHz,-124.214
4.050 GHz,-129.251
4.055 GHz,-124.400
4.060 GHz,-130.413
4.065 GHz,-124.573
4.070 GHz,-129.434
4.075 GHz,-124.496
4.080 GHz,-130.303
4.085 GHz,-124.863
4.090 GHz,-129.896
4.095 GHz,-124.640
4.100 GHz,-129.635
4.105 GHz,-125.344
4.110 GHz,-129.659
4.115 GHz,-124.856
4.120 GHz,-130.102
4.125 GHz,-124.380
4.130 GHz,-126.588
4.135 GHz,-124.934
4.140 GHz,-130.495
4.145 GHz,-125.044
4.150 GHz,-130.903
4.155 GHz,-125.249
4.160 GHz,-130.339
4.165 GHz,-125.138
4.170 GHz,-130.605
4.175 GHz,-125.161
4.180 GHz,-130.900
4.185 GHz,-125.273
4.190 GHz,-130.927
4.195 GHz,-124.907
4.200 GHz,-131.126
4.205 GHz,-125.511
4.210 GHz,-130.976
4.215 GHz,-125.503
4.220 GHz,-128.646
4.225 GHz,-125.535
4.230 GHz,-131.437
4.235 GHz,-125.641
4.240 GHz,-130.778
4.245 GHz,-125.786
4.250 GHz,-131.461
4.255 GHz,-125.690
4.260 GHz,-133.616
4.265 GHz,-125.438
4.270 GHz,-131.732
4.275 GHz,-125.939
4.280 GHz,-132.019
4.285 GHz,-125.311
4.290 GHz,-133.256
4.295 GHz,-125.974
4.300 GHz,-131.794
4.305 GHz,-125.942
4.310 GHz,-130.903
4.315 GHz,-126.110
4.320 GHz,-132.498
4.325 GHz,-126.335
4.330 GHz,-132.542
4.335 GHz,-126.776
4.340 GHz,-132.633
4.345 GHz,-126.199
4.350 GHz,-132.175
4.355 GHz,-127.158
4.360 GHz,-132.362
4.365 GHz,-126.437
4.370 GHz,-133.112
4.375 GHz,-124.259
4.380 GHz,-137.614
4.385 GHz,-126.672
4.390 GHz,-132.893
4.395 GHz,-126.482
4.400 GHz,-133.838
4.405 GHz,-126.581
4.410 GHz,-133.185
4.415 GHz,-126.795
4.420 GHz,-133.170
4.425 GHz,-126.943
4.430 GHz,-133.789
4.435 GHz,-126.832
4.440 GHz,-133.480
4.445 GHz,-125.968
4.450 GHz,-133.357
4.455 GHz,-126.914
4.460 GHz,-133.824
4.465 GHz,-127.208
4.470 GHz,-137.016
4.475 GHz,-127.159
4.480 GHz,-133.880
4.485 GHz,-126.927
4.490 GHz,-133.386
4.495 GHz,-126.871
4.500 GHz,-134.151
4.505 GHz,-127.268
4.510 GHz,-134.118
4.515 GHz,-126.604
4.520 GHz,-134.497
4.525 GHz,-127.448
4.530 GHz,-134.349
4.535 GHz,-122.161
4.540 GHz,-140.539
4.545 GHz,-127.175
4.550 GHz,-134.638
4.555 GHz,-127.728
4.560 GHz,-133.267
4.565 GHz,-127.797
4.570 GHz,-134.893
4.575 GHz,-127.594
4.580 GHz,-134.186
4.585 GHz,-127.575
4.590 GHz,-134.917
4.595 GHz,-127.539
4.600 GHz,-135.019
4.605 GHz,-129.286
4.610 GHz,-135.252
4.615 GHz,-127.943
4.620 GHz,-135.278
4.625 GHz,-126.430
4.630 GHz,-137.864
4.635 GHz,-127.777
4.640 GHz,-135.380
4.645 GHz,-128.059
4.650 GHz,-139.987
4.655 GHz,-123.408
4.660 GHz,-135.510
4.665 GHz,-127.971
4.670 GHz,-135.732
4.675 GHz,-128.226
4.680 GHz,-135.554
4.685 GHz,-128.071
4.690 GHz,-136.069
4.695 GHz,-129.314
4.700 GHz,-135.714
4.705 GHz,-128.309
4.710 GHz,-135.397
4.715 GHz,-128.339
4.720 GHz,-135.875
4.725 GHz,-128.127
4.730 GHz,-136.194
4.735 GHz,-128.339
4.740 GHz,-135.983
4.745 GHz,-128.437
4.750 GHz,-135.835
4.755 GHz,-128.494
4.760 GHz,-135.283
4.765 GHz,-127.742
4.770 GHz,-135.805
4.775 GHz,-128.455
4.780 GHz,-136.527
4.785 GHz,-121.216
4.790 GHz,-135.990
4.795 GHz,-128.509
4.800 GHz,-135.619
4.805 GHz,-128.833
4.810 GHz,-132.313
4.815 GHz,-128.746
4.820 GHz,-136.235
4.825 GHz,-128.876
4.830 GHz,-134.927
4.835 GHz,-128.540
4.840 GHz,-136.151
4.845 GHz,-128.710
4.850 GHz,-135.217
4.855 GHz,-129.178
4.860 GHz,-135.487
4.865 GHz,-128.925
4.870 GHz,-136.356
4.875 GHz,-126.019
4.880 GHz,-135.427
4.885 GHz,-129.031
4.890 GHz,-135.672
4.895 GHz,-128.757
4.900 GHz,-136.994
4.905 GHz,-128.834
4.910 GHz,-135.561
4.915 GHz,-129.114
4.920 GHz,-139.053
4.925 GHz,-129.305
4.930 GHz,-135.870
4.935 GHz,-129.337
4.940 GHz,-134.975
4.945 GHz,-129.429
4.950 GHz,-135.069
4.955 GHz,-129.081
4.960 GHz,-135.637
4.965 GHz,-129.292
4.970 GHz,-136.229
4.975 GHz,-129.471
4.980 GHz,-135.508
4.985 GHz,-129.146
4.990 GHz,-136.756
4.995 GHz,-129.322
5.000 GHz,-134.520
5.005 GHz,-129.550
5.010 GHz,-137.798
5.015 GHz,-129.044
5.020 GHz,-135.594
5.025 GHz,-129.641
5.030 GHz,-134.568
5.035 GHz,-112.978
5.040 GHz,-133.107
5.045 GHz,-129.610
5.050 GHz,-134.375
5.055 GHz,-130.636
5.060 GHz,-132.602
5.065 GHz,-130.024
5.070 GHz,-134.862
5.075 GHz,-129.623
5.080 GHz,-132.088
5.085 GHz,-129.556
5.090 GHz,-133.636
5.095 GHz,-129.591
5.100 GHz,-133.875
5.105 GHz,-130.450
5.110 GHz,-134.006
5.115 GHz,-130.208
5.120 GHz,-133.815
5.125 GHz,-129.411
5.130 GHz,-133.141
5.135 GHz,-129.793
5.140 GHz,-133.229
5.145 GHz,-129.822
5.150 GHz,-132.125
5.155 GHz,-130.042
5.160 GHz,-133.401
5.165 GHz,-130.222
5.170 GHz,-132.356
5.175 GHz,-130.757
5.180 GHz,-132.675
5.185 GHz,-130.056
5.190 GHz,-132.428
5.195 GHz,-141.680
5.200 GHz,-132.563
5.205 GHz,-130.289
5.210 GHz,-132.759
5.215 GHz,-129.857
5.220 GHz,-133.209
5.225 GHz,-130.374
5.230 GHz,-131.758
5.235 GHz,-130.215
5.240 GHz,-132.742
5.245 GHz,-130.238
5.250 GHz,-131.851
5.255 GHz,-130.724
5.260 GHz,-132.393
5.265 GHz,-130.762
5.270 GHz,-131.632
5.275 GHz,-130.328
5.280 GHz,-130.755
5.285 GHz,-128.993
5.290 GHz,-130.605
5.295 GHz,-130.727
