"freq
References : ['dB(Gc)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","dB(Gc)
References : []
Dependency : [freq]
Num. Points : [501]
Matrix Size : scalar
Type : Real"
2.901 GHz,<invalid>
2.901 GHz,<invalid>
2.902 GHz,<invalid>
2.902 GHz,-10.000
2.903 GHz,<invalid>
2.904 GHz,-2.553
2.904 GHz,<invalid>
2.905 GHz,-6.021
2.905 GHz,-12.304
2.905 GHz,-6.021
2.906 GHz,-2.951
2.906 GHz,<invalid>
2.907 GHz,-7.696
2.908 GHz,6.284
2.908 GHz,0.067
2.909 GHz,-1.793
2.909 GHz,<invalid>
2.909 GHz,-18.062
2.910 GHz,-1.584
2.910 GHz,<invalid>
2.911 GHz,-7.959
2.912 GHz,6.284
2.912 GHz,0.969
2.913 GHz,<invalid>
2.913 GHz,<invalid>
2.913 GHz,-5.051
2.914 GHz,<invalid>
2.914 GHz,6.284
2.915 GHz,-0.969
2.916 GHz,-6.021
2.916 GHz,-20.000
2.917 GHz,9.542
2.917 GHz,3.522
2.917 GHz,-0.398
2.918 GHz,-6.021
2.918 GHz,-18.062
2.919 GHz,0.263
2.920 GHz,-9.542
2.920 GHz,<invalid>
2.921 GHz,<invalid>
2.921 GHz,<invalid>
2.921 GHz,-2.536
2.922 GHz,2.109
2.922 GHz,-6.726
2.923 GHz,-6.021
2.924 GHz,-0.263
2.924 GHz,<invalid>
2.925 GHz,-5.757
2.925 GHz,-8.519
2.925 GHz,6.284
2.926 GHz,6.021
2.926 GHz,-12.041
2.927 GHz,-5.051
2.928 GHz,0.263
2.928 GHz,<invalid>
2.929 GHz,-6.726
2.929 GHz,-2.903
2.929 GHz,-0.706
2.930 GHz,<invalid>
2.930 GHz,-6.021
2.931 GHz,-2.553
2.932 GHz,-15.563
2.932 GHz,3.522
2.933 GHz,-6.525
2.933 GHz,-6.021
2.933 GHz,0.141
2.934 GHz,12.041
2.934 GHz,-0.050
2.935 GHz,-19.494
2.936 GHz,-15.563
2.936 GHz,-2.206
2.937 GHz,-4.984
2.937 GHz,-1.871
2.938 GHz,-0.246
2.938 GHz,-19.494
2.938 GHz,-12.304
2.939 GHz,6.088
2.939 GHz,7.959
2.940 GHz,12.109
2.941 GHz,-6.021
2.941 GHz,<invalid>
2.942 GHz,2.566
2.942 GHz,0.000
2.942 GHz,-6.418
2.943 GHz,12.613
2.943 GHz,3.522
2.944 GHz,1.072
2.945 GHz,12.058
2.945 GHz,1.938
2.946 GHz,-1.037
2.946 GHz,0.000
2.946 GHz,0.000
2.947 GHz,4.968
2.947 GHz,0.000
2.948 GHz,-6.021
2.949 GHz,0.308
2.949 GHz,-0.113
2.950 GHz,0.067
2.950 GHz,-18.129
2.950 GHz,<invalid>
2.951 GHz,-9.542
2.951 GHz,-12.041
2.952 GHz,-6.162
2.953 GHz,6.425
2.953 GHz,-6.021
2.954 GHz,-5.712
2.954 GHz,0.000
2.954 GHz,8.783
2.955 GHz,-6.021
2.955 GHz,-5.160
2.956 GHz,<invalid>
2.957 GHz,7.959
2.957 GHz,-4.082
2.958 GHz,-6.021
2.958 GHz,8.519
2.958 GHz,13.473
2.959 GHz,<invalid>
2.959 GHz,<invalid>
2.960 GHz,-4.993
2.961 GHz,-0.045
2.961 GHz,-6.284
2.962 GHz,-5.243
2.962 GHz,9.004
2.962 GHz,-2.347
2.963 GHz,-2.299
2.963 GHz,0.000
2.964 GHz,-1.584
2.965 GHz,4.651
2.965 GHz,26.581
2.966 GHz,1.626
2.966 GHz,5.908
2.966 GHz,-0.013
2.967 GHz,-2.938
2.967 GHz,-2.708
2.968 GHz,20.561
2.969 GHz,-0.098
2.969 GHz,-16.274
2.970 GHz,-16.274
2.970 GHz,-4.932
2.970 GHz,1.938
2.971 GHz,13.306
2.971 GHz,6.553
2.972 GHz,-2.732
2.973 GHz,-6.038
2.973 GHz,0.067
2.974 GHz,6.425
2.974 GHz,-0.017
2.974 GHz,0.000
2.975 GHz,0.000
2.975 GHz,-16.274
2.976 GHz,0.564
2.977 GHz,-0.113
2.977 GHz,1.938
2.978 GHz,<invalid>
2.978 GHz,9.951
2.978 GHz,-4.852
2.979 GHz,-7.604
2.979 GHz,0.000
2.980 GHz,7.453
2.981 GHz,0.141
2.981 GHz,-6.021
2.982 GHz,0.000
2.982 GHz,<invalid>
2.982 GHz,3.931
2.983 GHz,12.613
2.983 GHz,<invalid>
2.984 GHz,-0.480
2.985 GHz,0.000
2.985 GHz,-5.193
2.986 GHz,12.041
2.986 GHz,<invalid>
2.986 GHz,-12.041
2.987 GHz,-1.584
2.987 GHz,<invalid>
2.988 GHz,-9.946
2.989 GHz,0.000
2.989 GHz,-5.517
2.990 GHz,-0.969
2.990 GHz,-0.819
2.990 GHz,1.072
2.991 GHz,-6.021
2.991 GHz,-9.098
2.992 GHz,-6.284
2.993 GHz,6.990
2.993 GHz,-12.041
2.994 GHz,-3.259
2.994 GHz,-4.949
2.994 GHz,3.522
2.995 GHz,-3.912
2.995 GHz,-0.512
2.996 GHz,-15.563
2.997 GHz,-3.118
2.997 GHz,<invalid>
2.998 GHz,<invalid>
2.998 GHz,-18.325
2.998 GHz,-1.938
2.999 GHz,2.553
2.999 GHz,3.468
3.000 GHz,0.000
3.001 GHz,-6.021
3.001 GHz,-8.519
3.002 GHz,0.969
3.002 GHz,1.938
3.002 GHz,-12.041
3.003 GHz,-6.021
3.003 GHz,<invalid>
3.004 GHz,0.000
3.005 GHz,-6.021
3.005 GHz,-5.390
3.006 GHz,0.000
3.006 GHz,-0.428
3.006 GHz,0.706
3.007 GHz,3.582
3.007 GHz,-5.051
3.008 GHz,-3.649
3.009 GHz,0.000
3.009 GHz,-6.021
3.010 GHz,6.021
3.010 GHz,-3.979
3.010 GHz,0.000
3.011 GHz,4.243
3.011 GHz,-3.912
3.012 GHz,-0.512
3.013 GHz,-1.139
3.013 GHz,-16.021
3.014 GHz,<invalid>
3.014 GHz,4.861
3.014 GHz,-9.542
3.015 GHz,-2.041
3.015 GHz,-11.139
3.016 GHz,-3.181
3.017 GHz,0.000
3.017 GHz,-9.031
3.018 GHz,-6.726
3.018 GHz,0.969
3.018 GHz,5.119
3.019 GHz,-8.325
3.019 GHz,-13.010
3.020 GHz,-3.468
3.021 GHz,-4.112
3.021 GHz,0.000
3.022 GHz,2.109
3.022 GHz,0.000
3.022 GHz,-1.072
3.023 GHz,<invalid>
3.023 GHz,3.010
3.024 GHz,<invalid>
3.025 GHz,-9.031
3.025 GHz,-6.021
3.026 GHz,0.000
3.026 GHz,3.010
3.026 GHz,-6.021
3.027 GHz,<invalid>
3.027 GHz,3.522
3.028 GHz,-12.304
3.029 GHz,<invalid>
3.029 GHz,-6.021
3.030 GHz,0.000
3.030 GHz,-6.021
3.030 GHz,6.990
3.031 GHz,<invalid>
3.031 GHz,-6.990
3.032 GHz,-6.021
3.033 GHz,3.979
3.033 GHz,<invalid>
3.034 GHz,-3.010
3.034 GHz,3.522
3.034 GHz,3.010
3.035 GHz,-9.031
3.035 GHz,-9.031
3.036 GHz,-1.871
3.037 GHz,-5.376
3.037 GHz,-6.021
3.038 GHz,-5.653
3.038 GHz,-1.032
3.038 GHz,-9.031
3.039 GHz,-0.969
3.039 GHz,-7.501
3.040 GHz,1.938
3.041 GHz,-12.553
3.041 GHz,-6.990
3.042 GHz,-6.021
3.042 GHz,-12.041
3.042 GHz,-6.021
3.043 GHz,-7.447
3.043 GHz,-7.618
3.044 GHz,0.263
3.045 GHz,-14.247
3.045 GHz,<invalid>
3.046 GHz,6.284
3.046 GHz,-2.041
3.046 GHz,-1.413
3.047 GHz,-7.891
3.047 GHz,-15.051
3.048 GHz,-0.969
3.049 GHz,-15.051
3.049 GHz,8.212
3.050 GHz,-11.793
3.050 GHz,-7.186
3.050 GHz,-9.031
3.051 GHz,-7.935
3.051 GHz,-6.191
3.052 GHz,-0.428
3.053 GHz,-13.010
3.053 GHz,-15.315
3.054 GHz,3.522
3.054 GHz,-18.536
3.054 GHz,1.473
3.055 GHz,-1.871
3.055 GHz,-6.021
3.056 GHz,-8.861
3.057 GHz,-6.312
3.057 GHz,-17.009
3.058 GHz,-12.672
3.058 GHz,-11.139
3.058 GHz,-5.509
3.059 GHz,4.087
3.059 GHz,-13.010
3.060 GHz,-6.726
3.061 GHz,5.220
3.061 GHz,-2.845
3.062 GHz,-6.695
3.062 GHz,-20.588
3.062 GHz,-2.304
3.063 GHz,-15.526
3.063 GHz,10.263
3.064 GHz,-14.318
3.064 GHz,-10.876
3.065 GHz,-15.193
3.066 GHz,8.822
3.066 GHz,8.837
3.067 GHz,15.456
3.067 GHz,-1.871
3.067 GHz,0.525
3.068 GHz,-16.694
3.068 GHz,3.668
3.069 GHz,-22.577
3.070 GHz,-6.241
3.070 GHz,5.146
3.071 GHz,0.067
3.071 GHz,-14.881
3.071 GHz,-20.501
3.072 GHz,-6.560
3.072 GHz,-18.062
3.073 GHz,0.640
3.074 GHz,-17.887
3.074 GHz,-1.274
3.075 GHz,-18.357
3.075 GHz,-9.602
3.075 GHz,-13.054
3.076 GHz,-12.507
3.076 GHz,-5.144
3.077 GHz,-29.393
3.078 GHz,-3.675
3.078 GHz,-7.959
3.079 GHz,4.039
3.079 GHz,-2.766
3.079 GHz,-6.021
3.080 GHz,-9.227
3.080 GHz,-12.245
3.081 GHz,1.781
3.082 GHz,-29.138
3.082 GHz,3.731
3.083 GHz,-2.216
3.083 GHz,-10.767
3.083 GHz,-5.994
3.084 GHz,-16.143
3.084 GHz,-0.815
3.085 GHz,-9.643
3.086 GHz,-18.446
3.086 GHz,-11.670
3.087 GHz,-17.330
3.087 GHz,-2.497
3.087 GHz,5.373
3.088 GHz,-4.386
3.088 GHz,-9.667
3.089 GHz,-19.780
3.090 GHz,7.891
3.090 GHz,-23.317
3.091 GHz,-9.299
3.091 GHz,-4.906
3.091 GHz,-4.483
3.092 GHz,-14.175
3.092 GHz,-11.331
3.093 GHz,-14.553
3.094 GHz,6.284
3.094 GHz,-5.915
3.095 GHz,-2.041
3.095 GHz,-15.279
3.095 GHz,-9.791
3.096 GHz,7.438
3.096 GHz,-11.202
3.097 GHz,-17.408
3.098 GHz,-14.516
3.098 GHz,6.990
3.099 GHz,-16.789
3.099 GHz,1.978
3.099 GHz,-9.201
3.100 GHz,-16.388
