"freq
References : ['dBm(Vf)']
Dependency : [freq]
Num. Points : [1]
Matrix Size : scalar
Type : Real","dBm(Vf)
References : []
Dependency : [freq]
Num. Points : [2001]
Matrix Size : scalar
Type : Real"
1.505 GHz,-127.265
1.510 GHz,-132.770
1.515 GHz,-127.185
1.520 GHz,-132.679
1.525 GHz,-127.103
1.530 GHz,-132.663
1.535 GHz,-126.790
1.540 GHz,-132.527
1.545 GHz,-127.005
1.550 GHz,-132.587
1.555 GHz,-126.989
1.560 GHz,-132.475
1.565 GHz,-126.989
1.570 GHz,-132.517
1.575 GHz,-126.869
1.580 GHz,-132.343
1.585 GHz,-126.774
1.590 GHz,-132.286
1.595 GHz,-126.756
1.600 GHz,-131.917
1.605 GHz,-126.643
1.610 GHz,-132.222
1.615 GHz,-126.624
1.620 GHz,-132.166
1.625 GHz,-126.590
1.630 GHz,-132.468
1.635 GHz,-126.537
1.640 GHz,-132.012
1.645 GHz,-126.431
1.650 GHz,-131.924
1.655 GHz,-126.342
1.660 GHz,-132.182
1.665 GHz,-126.247
1.670 GHz,-131.819
1.675 GHz,-126.251
1.680 GHz,-128.795
1.685 GHz,-127.330
1.690 GHz,-131.562
1.695 GHz,-125.894
1.700 GHz,-131.677
1.705 GHz,-126.072
1.710 GHz,-131.543
1.715 GHz,-125.976
1.720 GHz,-131.505
1.725 GHz,-126.466
1.730 GHz,-131.337
1.735 GHz,-125.841
1.740 GHz,-131.401
1.745 GHz,-125.806
1.750 GHz,-131.331
1.755 GHz,-125.588
1.760 GHz,-131.370
1.765 GHz,-125.686
1.770 GHz,-131.166
1.775 GHz,-125.590
1.780 GHz,-131.074
1.785 GHz,-125.521
1.790 GHz,-127.394
1.795 GHz,-125.425
1.800 GHz,-130.963
1.805 GHz,-125.378
1.810 GHz,-130.925
1.815 GHz,-125.339
1.820 GHz,-131.044
1.825 GHz,-125.314
1.830 GHz,-130.767
1.835 GHz,-125.180
1.840 GHz,-130.648
1.845 GHz,-125.073
1.850 GHz,-130.687
1.855 GHz,-125.118
1.860 GHz,-130.484
1.865 GHz,-124.929
1.870 GHz,-130.472
1.875 GHz,-124.860
1.880 GHz,-130.392
1.885 GHz,-124.550
1.890 GHz,-130.378
1.895 GHz,-124.734
1.900 GHz,-130.202
1.905 GHz,-124.634
1.910 GHz,-130.110
1.915 GHz,-124.594
1.920 GHz,-129.877
1.925 GHz,-124.483
1.930 GHz,-129.684
1.935 GHz,-124.396
1.940 GHz,-129.934
1.945 GHz,-124.384
1.950 GHz,-129.567
1.955 GHz,-124.252
1.960 GHz,-129.741
1.965 GHz,-124.156
1.970 GHz,-129.617
1.975 GHz,-124.045
1.980 GHz,-130.088
1.985 GHz,-124.000
1.990 GHz,-129.451
1.995 GHz,-123.885
2.000 GHz,-129.410
2.005 GHz,-123.824
2.010 GHz,-129.228
2.015 GHz,-123.552
2.020 GHz,-129.250
2.025 GHz,-123.649
2.030 GHz,-129.108
2.035 GHz,-123.543
2.040 GHz,-128.993
2.045 GHz,-123.508
2.050 GHz,-128.880
2.055 GHz,-123.351
2.060 GHz,-128.847
2.065 GHz,-123.269
2.070 GHz,-128.878
2.075 GHz,-124.418
2.080 GHz,-127.938
2.085 GHz,-123.083
2.090 GHz,-128.566
2.095 GHz,-122.993
2.100 GHz,-128.431
2.105 GHz,-122.882
2.110 GHz,-127.931
2.115 GHz,-122.788
2.120 GHz,-128.243
2.125 GHz,-122.681
2.130 GHz,-128.176
2.135 GHz,-122.603
2.140 GHz,-127.675
2.145 GHz,-122.467
2.150 GHz,-127.971
2.155 GHz,-122.394
2.160 GHz,-127.831
2.165 GHz,-122.277
2.170 GHz,-127.813
2.175 GHz,-122.323
2.180 GHz,-127.601
2.185 GHz,-122.059
2.190 GHz,-127.516
2.195 GHz,-121.957
2.200 GHz,-127.437
2.205 GHz,-121.712
2.210 GHz,-127.318
2.215 GHz,-121.740
2.220 GHz,-127.180
2.225 GHz,-121.628
2.230 GHz,-127.024
2.235 GHz,-121.440
2.240 GHz,-126.964
2.245 GHz,-121.392
2.250 GHz,-126.812
2.255 GHz,-121.269
2.260 GHz,-126.708
2.265 GHz,-121.189
2.270 GHz,-126.192
2.275 GHz,-121.029
2.280 GHz,-126.455
2.285 GHz,-120.914
2.290 GHz,-126.316
2.295 GHz,-120.784
2.300 GHz,-126.390
2.305 GHz,-120.671
2.310 GHz,-126.052
2.315 GHz,-120.527
2.320 GHz,-125.900
2.325 GHz,-120.397
2.330 GHz,-125.935
2.335 GHz,-120.324
2.340 GHz,-125.649
2.345 GHz,-120.131
2.350 GHz,-125.505
2.355 GHz,-119.993
2.360 GHz,-125.316
2.365 GHz,-118.722
2.370 GHz,-125.217
2.375 GHz,-119.712
2.380 GHz,-125.071
2.385 GHz,-119.565
2.390 GHz,-124.917
2.395 GHz,-118.958
2.400 GHz,-124.916
2.405 GHz,-119.276
2.410 GHz,-124.597
2.415 GHz,-119.118
2.420 GHz,-124.448
2.425 GHz,-118.940
2.430 GHz,-124.573
2.435 GHz,-118.801
2.440 GHz,-124.119
2.445 GHz,-118.652
2.450 GHz,-123.944
2.455 GHz,-118.495
2.460 GHz,-123.285
2.465 GHz,-118.330
2.470 GHz,-123.581
2.475 GHz,-118.136
2.480 GHz,-123.410
2.485 GHz,-117.967
2.490 GHz,-123.343
2.495 GHz,-117.819
2.500 GHz,-123.029
2.505 GHz,-117.616
2.510 GHz,-122.848
2.515 GHz,-117.445
2.520 GHz,-122.618
2.525 GHz,-117.317
2.530 GHz,-122.447
2.535 GHz,-117.065
2.540 GHz,-122.205
2.545 GHz,-116.852
2.550 GHz,-122.010
2.555 GHz,-116.493
2.560 GHz,-121.777
2.565 GHz,-116.444
2.570 GHz,-121.571
2.575 GHz,-116.245
2.580 GHz,-121.305
2.585 GHz,-116.070
2.590 GHz,-121.116
2.595 GHz,-115.820
2.600 GHz,-120.832
2.605 GHz,-115.578
2.610 GHz,-120.569
2.615 GHz,-115.319
2.620 GHz,-119.735
2.625 GHz,-115.080
2.630 GHz,-120.053
2.635 GHz,-114.849
2.640 GHz,-119.797
2.645 GHz,-114.620
2.650 GHz,-120.153
2.655 GHz,-114.600
2.660 GHz,-119.204
2.665 GHz,-114.083
2.670 GHz,-118.855
2.675 GHz,-113.783
2.680 GHz,-118.612
2.685 GHz,-113.917
2.690 GHz,-118.191
2.695 GHz,-113.196
2.700 GHz,-117.894
2.705 GHz,-112.907
2.710 GHz,-117.550
2.715 GHz,-112.949
2.720 GHz,-117.149
2.725 GHz,-112.255
2.730 GHz,-116.736
2.735 GHz,-111.912
2.740 GHz,-116.310
2.745 GHz,-111.430
2.750 GHz,-116.087
2.755 GHz,-111.168
2.760 GHz,-115.442
2.765 GHz,-110.784
2.770 GHz,-114.985
2.775 GHz,-110.414
2.780 GHz,-114.428
2.785 GHz,-109.965
2.790 GHz,-113.925
2.795 GHz,-109.523
2.800 GHz,-113.318
2.805 GHz,-109.026
2.810 GHz,-112.638
2.815 GHz,-108.532
2.820 GHz,-112.045
2.825 GHz,-108.004
2.830 GHz,-111.371
2.835 GHz,-107.462
2.840 GHz,-110.628
2.845 GHz,-106.896
2.850 GHz,-109.787
2.855 GHz,-106.237
2.860 GHz,-108.828
2.865 GHz,-105.545
2.870 GHz,-107.792
2.875 GHz,-104.841
2.880 GHz,-106.629
2.885 GHz,-104.005
2.890 GHz,-105.385
2.895 GHz,-103.144
2.900 GHz,-103.922
2.905 GHz,-102.206
2.910 GHz,-102.277
2.915 GHz,-101.233
2.920 GHz,-100.101
2.925 GHz,-100.242
2.930 GHz,-97.527
2.935 GHz,-99.428
2.940 GHz,-94.195
2.945 GHz,-99.979
2.950 GHz,-89.860
2.955 GHz,-109.983
2.960 GHz,-85.537
2.965 GHz,-79.439
2.970 GHz,-18.482
2.975 GHz,-29.122
2.980 GHz,-81.459
2.985 GHz,-91.848
2.990 GHz,-92.316
2.995 GHz,-91.068
3.000 GHz,-103.488
3.005 GHz,-93.811
3.010 GHz,-116.749
3.015 GHz,-95.823
3.020 GHz,-128.515
3.025 GHz,-97.690
3.030 GHz,-118.633
3.035 GHz,-99.390
3.040 GHz,-116.729
3.045 GHz,-100.586
3.050 GHz,-115.756
3.055 GHz,-101.731
3.060 GHz,-115.591
3.065 GHz,-102.656
3.070 GHz,-115.694
3.075 GHz,-103.679
3.080 GHz,-115.948
3.085 GHz,-104.534
3.090 GHz,-116.274
3.095 GHz,-105.355
3.100 GHz,-116.599
3.105 GHz,-106.031
3.110 GHz,-116.883
3.115 GHz,-106.688
3.120 GHz,-117.153
3.125 GHz,-107.260
3.130 GHz,-117.450
3.135 GHz,-107.847
3.140 GHz,-117.858
3.145 GHz,-108.373
3.150 GHz,-118.295
3.155 GHz,-108.906
3.160 GHz,-118.638
3.165 GHz,-109.356
3.170 GHz,-118.993
3.175 GHz,-109.843
3.180 GHz,-119.203
3.185 GHz,-110.255
3.190 GHz,-119.483
3.195 GHz,-110.781
3.200 GHz,-119.712
3.205 GHz,-111.043
3.210 GHz,-120.157
3.215 GHz,-111.416
3.220 GHz,-120.881
3.225 GHz,-111.727
3.230 GHz,-121.211
3.235 GHz,-112.154
3.240 GHz,-121.010
3.245 GHz,-112.482
3.250 GHz,-121.209
3.255 GHz,-112.764
3.260 GHz,-120.143
3.265 GHz,-113.101
3.270 GHz,-121.748
3.275 GHz,-113.377
3.280 GHz,-122.079
3.285 GHz,-113.696
3.290 GHz,-122.643
3.295 GHz,-113.955
3.300 GHz,-122.570
3.305 GHz,-114.245
3.310 GHz,-122.738
3.315 GHz,-114.491
3.320 GHz,-122.805
3.325 GHz,-114.711
3.330 GHz,-123.132
3.335 GHz,-114.980
3.340 GHz,-123.429
3.345 GHz,-115.224
3.350 GHz,-123.716
3.355 GHz,-115.530
3.360 GHz,-123.970
3.365 GHz,-115.709
3.370 GHz,-124.057
3.375 GHz,-115.930
3.380 GHz,-124.186
3.385 GHz,-116.057
3.390 GHz,-124.385
3.395 GHz,-116.342
3.400 GHz,-124.618
3.405 GHz,-116.532
3.410 GHz,-124.876
3.415 GHz,-116.769
3.420 GHz,-124.923
3.425 GHz,-116.929
3.430 GHz,-125.240
3.435 GHz,-117.147
3.440 GHz,-125.359
3.445 GHz,-117.321
3.450 GHz,-125.555
3.455 GHz,-117.540
3.460 GHz,-125.697
3.465 GHz,-117.676
3.470 GHz,-125.918
3.475 GHz,-117.855
3.480 GHz,-126.230
3.485 GHz,-118.035
3.490 GHz,-126.284
3.495 GHz,-118.207
3.500 GHz,-126.413
3.505 GHz,-118.377
3.510 GHz,-126.510
3.515 GHz,-118.401
3.520 GHz,-126.696
3.525 GHz,-118.691
3.530 GHz,-126.876
3.535 GHz,-118.840
3.540 GHz,-127.069
3.545 GHz,-118.806
3.550 GHz,-127.420
3.555 GHz,-119.149
3.560 GHz,-127.357
3.565 GHz,-119.307
3.570 GHz,-127.477
3.575 GHz,-119.355
3.580 GHz,-129.883
3.585 GHz,-119.595
3.590 GHz,-127.772
3.595 GHz,-119.728
3.600 GHz,-127.936
3.605 GHz,-119.871
3.610 GHz,-127.849
3.615 GHz,-119.993
3.620 GHz,-128.212
3.625 GHz,-120.095
3.630 GHz,-128.333
3.635 GHz,-120.271
3.640 GHz,-128.379
3.645 GHz,-120.349
3.650 GHz,-128.599
3.655 GHz,-120.528
3.660 GHz,-128.755
3.665 GHz,-120.662
3.670 GHz,-128.892
3.675 GHz,-121.015
3.680 GHz,-129.036
3.685 GHz,-120.914
3.690 GHz,-129.122
3.695 GHz,-121.026
3.700 GHz,-129.254
3.705 GHz,-121.078
3.710 GHz,-129.346
3.715 GHz,-121.259
3.720 GHz,-129.520
3.725 GHz,-121.380
3.730 GHz,-129.662
3.735 GHz,-121.510
3.740 GHz,-130.130
3.745 GHz,-121.619
3.750 GHz,-129.872
3.755 GHz,-121.726
3.760 GHz,-129.966
3.765 GHz,-121.822
3.770 GHz,-129.440
3.775 GHz,-121.919
3.780 GHz,-130.215
3.785 GHz,-122.036
3.790 GHz,-130.375
3.795 GHz,-122.167
3.800 GHz,-130.582
3.805 GHz,-122.307
3.810 GHz,-130.604
3.815 GHz,-122.374
3.820 GHz,-130.660
3.825 GHz,-122.455
3.830 GHz,-130.836
3.835 GHz,-123.388
3.840 GHz,-130.833
3.845 GHz,-122.647
3.850 GHz,-131.039
3.855 GHz,-122.718
3.860 GHz,-131.223
3.865 GHz,-132.970
3.870 GHz,-128.693
3.875 GHz,-122.975
3.880 GHz,-131.326
3.885 GHz,-123.056
3.890 GHz,-131.392
3.895 GHz,-123.022
3.900 GHz,-131.918
3.905 GHz,-123.224
3.910 GHz,-131.630
3.915 GHz,-123.316
3.920 GHz,-131.799
3.925 GHz,-123.453
3.930 GHz,-132.461
3.935 GHz,-123.519
3.940 GHz,-131.979
3.945 GHz,-123.615
3.950 GHz,-131.998
3.955 GHz,-123.669
3.960 GHz,-131.696
3.965 GHz,-123.670
3.970 GHz,-132.181
3.975 GHz,-123.840
3.980 GHz,-132.379
3.985 GHz,-123.952
3.990 GHz,-132.507
3.995 GHz,-124.044
4.000 GHz,-132.688
4.005 GHz,-124.134
4.010 GHz,-132.596
4.015 GHz,-123.990
4.020 GHz,-132.648
4.025 GHz,-124.462
4.030 GHz,-132.549
4.035 GHz,-124.344
4.040 GHz,-132.902
4.045 GHz,-124.429
4.050 GHz,-133.043
4.055 GHz,-124.525
4.060 GHz,-133.813
4.065 GHz,-124.607
4.070 GHz,-133.197
4.075 GHz,-124.695
4.080 GHz,-133.190
4.085 GHz,-124.715
4.090 GHz,-133.153
4.095 GHz,-124.838
4.100 GHz,-133.380
4.105 GHz,-124.909
4.110 GHz,-133.571
4.115 GHz,-124.999
4.120 GHz,-132.272
4.125 GHz,-124.738
4.130 GHz,-133.771
4.135 GHz,-125.153
4.140 GHz,-133.712
4.145 GHz,-125.204
4.150 GHz,-134.652
4.155 GHz,-129.261
4.160 GHz,-133.802
4.165 GHz,-125.328
4.170 GHz,-134.017
4.175 GHz,-125.409
4.180 GHz,-134.197
4.185 GHz,-125.759
4.190 GHz,-134.311
4.195 GHz,-125.575
4.200 GHz,-134.260
4.205 GHz,-125.647
4.210 GHz,-134.232
4.215 GHz,-125.737
4.220 GHz,-133.530
4.225 GHz,-125.765
4.230 GHz,-134.430
4.235 GHz,-125.812
4.240 GHz,-134.625
4.245 GHz,-125.931
4.250 GHz,-135.917
4.255 GHz,-125.952
4.260 GHz,-132.538
4.265 GHz,-125.399
4.270 GHz,-134.709
4.275 GHz,-126.087
4.280 GHz,-134.711
4.285 GHz,-126.224
4.290 GHz,-134.802
4.295 GHz,-126.205
4.300 GHz,-134.999
4.305 GHz,-126.289
4.310 GHz,-135.113
4.315 GHz,-125.929
4.320 GHz,-135.226
4.325 GHz,-126.438
4.330 GHz,-135.169
4.335 GHz,-126.497
4.340 GHz,-135.086
4.345 GHz,-126.844
4.350 GHz,-135.082
4.355 GHz,-126.594
4.360 GHz,-135.319
4.365 GHz,-126.641
4.370 GHz,-135.534
4.375 GHz,-126.845
4.380 GHz,-135.257
4.385 GHz,-126.778
4.390 GHz,-135.577
4.395 GHz,-126.870
4.400 GHz,-135.505
4.405 GHz,-126.899
4.410 GHz,-139.398
4.415 GHz,-126.991
4.420 GHz,-135.609
4.425 GHz,-126.990
4.430 GHz,-135.788
4.435 GHz,-127.081
4.440 GHz,-131.318
4.445 GHz,-126.540
4.450 GHz,-135.948
4.455 GHz,-127.212
4.460 GHz,-135.885
4.465 GHz,-127.255
4.470 GHz,-135.761
4.475 GHz,-126.803
4.480 GHz,-135.872
4.485 GHz,-127.338
4.490 GHz,-136.003
4.495 GHz,-127.392
4.500 GHz,-136.245
4.505 GHz,-126.605
4.510 GHz,-136.279
4.515 GHz,-127.519
4.520 GHz,-136.206
4.525 GHz,-127.598
4.530 GHz,-136.074
4.535 GHz,-127.736
4.540 GHz,-135.784
4.545 GHz,-127.687
4.550 GHz,-136.174
4.555 GHz,-127.694
4.560 GHz,-136.316
4.565 GHz,-127.762
4.570 GHz,-135.383
4.575 GHz,-127.783
4.580 GHz,-136.444
4.585 GHz,-127.905
4.590 GHz,-136.351
4.595 GHz,-127.932
4.600 GHz,-137.616
4.605 GHz,-128.169
4.610 GHz,-136.325
4.615 GHz,-128.005
4.620 GHz,-136.421
4.625 GHz,-128.049
4.630 GHz,-136.728
4.635 GHz,-127.746
4.640 GHz,-136.542
4.645 GHz,-128.179
4.650 GHz,-125.536
4.655 GHz,-119.954
4.660 GHz,-136.371
4.665 GHz,-127.714
4.670 GHz,-136.487
4.675 GHz,-128.313
4.680 GHz,-136.429
4.685 GHz,-128.321
4.690 GHz,-136.610
4.695 GHz,-129.116
4.700 GHz,-135.485
4.705 GHz,-128.419
4.710 GHz,-136.606
4.715 GHz,-128.524
4.720 GHz,-136.488
4.725 GHz,-128.444
4.730 GHz,-135.764
4.735 GHz,-128.632
4.740 GHz,-136.431
4.745 GHz,-128.599
4.750 GHz,-136.490
4.755 GHz,-128.644
4.760 GHz,-126.302
4.765 GHz,-128.427
4.770 GHz,-136.538
4.775 GHz,-128.762
4.780 GHz,-136.516
4.785 GHz,-128.819
4.790 GHz,-136.963
4.795 GHz,-130.079
4.800 GHz,-136.401
4.805 GHz,-128.869
4.810 GHz,-136.380
4.815 GHz,-128.870
4.820 GHz,-136.522
4.825 GHz,-128.769
4.830 GHz,-136.298
4.835 GHz,-128.968
4.840 GHz,-136.404
4.845 GHz,-129.069
4.850 GHz,-136.236
4.855 GHz,-128.700
4.860 GHz,-136.939
4.865 GHz,-129.135
4.870 GHz,-136.145
4.875 GHz,-129.103
4.880 GHz,-136.166
4.885 GHz,-129.197
4.890 GHz,-134.896
4.895 GHz,-129.140
4.900 GHz,-136.174
4.905 GHz,-129.254
4.910 GHz,-136.088
4.915 GHz,-129.210
4.920 GHz,-134.855
4.925 GHz,-129.421
4.930 GHz,-135.920
4.935 GHz,-129.330
4.940 GHz,-135.817
4.945 GHz,-129.322
4.950 GHz,-136.816
4.955 GHz,-129.797
4.960 GHz,-135.729
4.965 GHz,-129.416
4.970 GHz,-135.769
4.975 GHz,-129.500
4.980 GHz,-135.567
4.985 GHz,-128.314
4.990 GHz,-135.676
4.995 GHz,-129.542
5.000 GHz,-135.437
5.005 GHz,-129.514
5.010 GHz,-135.400
5.015 GHz,-129.617
5.020 GHz,-135.505
5.025 GHz,-129.545
5.030 GHz,-135.303
5.035 GHz,-129.631
5.040 GHz,-135.157
5.045 GHz,-132.116
5.050 GHz,-122.380
5.055 GHz,-129.717
5.060 GHz,-135.057
5.065 GHz,-129.677
5.070 GHz,-134.863
5.075 GHz,-129.636
5.080 GHz,-132.397
5.085 GHz,-129.541
5.090 GHz,-134.715
5.095 GHz,-129.736
5.100 GHz,-134.698
5.105 GHz,-129.806
5.110 GHz,-133.687
5.115 GHz,-129.546
5.120 GHz,-134.503
5.125 GHz,-129.813
5.130 GHz,-134.296
5.135 GHz,-129.774
5.140 GHz,-134.235
5.145 GHz,-131.072
5.150 GHz,-134.006
5.155 GHz,-129.798
5.160 GHz,-134.039
5.165 GHz,-129.846
5.170 GHz,-133.949
5.175 GHz,-129.388
5.180 GHz,-133.927
5.185 GHz,-129.886
5.190 GHz,-133.665
5.195 GHz,-129.855
5.200 GHz,-133.521
5.205 GHz,-129.715
5.210 GHz,-134.560
5.215 GHz,-129.833
5.220 GHz,-133.284
5.225 GHz,-129.858
5.230 GHz,-133.205
5.235 GHz,-129.906
5.240 GHz,-131.452
5.245 GHz,-129.850
5.250 GHz,-132.927
5.255 GHz,-129.867
5.260 GHz,-132.746
5.265 GHz,-129.822
5.270 GHz,-132.366
5.275 GHz,-130.094
5.280 GHz,-132.458
5.285 GHz,-129.810
5.290 GHz,-132.413
5.295 GHz,-129.817
